folio,text in tag,before,after
tcn_p044r_preTEI,deniers,"['qui', 'est', 'l', 'ordinayre', '&', 'la', 'plus', 'aysée', 'porte', 'xv']","['de', 'balle', 'v', 'deniers', 'de', 'pouldre', '&', 'lx', 'pas', 'de']"
tcn_p044v_preTEI,s,['Il'],"['s', 'e', 'font', 'à', 'Cou', 's', 'tance', 'en', 'Normandie', 'de']"
tcn_p053v_preTEI,s,['Il'],"['s', 'e', 'produi', 's', 'ent', 'de', 'grene', 'c', 'e', 's']"
tcn_p058v_preTEI,sols,"['christi', 'L', 'huile', 'de', 'noix', 'en', 'Flandres', 'coste', 'bien', 'cent']","['la', 'pinte', 'L', 'azur', 'demande', 'un', 'peu', 'l', 'huile', 'gras']"
tcn_p085v_preTEI,sols,"['cave', '&', 'de', 'l', 'espesseur', 'd', 'une', 'piece', 'de', 'quarante']","['J', 'ay', 'gecté', 'tres', 'chault']"
tcn_p094r_preTEI,s,['Il'],"['e', 'faict', 'de', 's', 'poignée', 's', 'de', 's', 'oye', 'de']"
tcn_p094v_preTEI,s,['Le'],"['poignée', 's', 'd', 'or', 's', 'e', 'font', 'y', 'mectant', 'de']"
tcn_p095r_preTEI,lb,"['Les', 'lames', 'de', 'Vienne', 'costent', 'communement', 'xviii', 'ou', '19']","['la', 'douzaine']"
tcn_p095r_preTEI,liart,"['ou', 'faict', 'faire', 'aulx', 'serruriers', 'ou', 'mareschaulx', 'luy', 'donnant', 'quelque']","['pour', 'son', 'charbon', 'Aprés', 'ilz', 'la', 'passent', 'par', 'la', 'meule']"
tcn_p095v_preTEI,sols,"['bout', 's', 'achepte', 'tout', 'faict', 'à', 'douzaine', 'qui', 'couste', 'six']","['des', 'petits', 'mays', 'des', 'grands', 'ii', 'carolus', 'Le', 'bout', 'ce']"
tcn_p095v_preTEI,carolus,"['qui', 'couste', 'six', 'sols', 'des', 'petits', 'mays', 'des', 'grands', 'ii']","['Le', 'bout', 'ce', 'se', 'mect', 'ou', 'avecq', 'des', 'cloux', 'qui']"
tcn_p095v_preTEI,lb,"['achaptent', 'à', 'douzaines', 'la', 'douzaine', 'des', 'pleines', 'coste', 'communement', 'x']","['La', 'piece', 'd', 'ouvraige', '30', 'sols', 'ou', 'selon', 'sa', 'façon']"
tcn_p095v_preTEI,s,['Le'],"['forbi', 's', 's', 'eur', 's', 'le', 's', 'achaptent', 'à', 'douzaine']"
tcn_p095v_preTEI,s,['Il'],"['acheptent', 'le', 's', 'boy', 's', 'de', 's', 'fourreaulx', 'qui', 's']"
tcn_p096r_preTEI,s,"['Le', 'fourreau']","['e', 'faict', 'de', 'cuir', 'de', 'veau', 'ou', 'de', 'mouton', 'tout']"
