folio,text in tag,before,after
tcn_p009v_preTEI,feste de la ,"['en', 'a', 'faict', 'cedulle', 'ledict', 'jour', 'à', 'payer', 'à', 'la']","['Sainct', 'André', 'prochainne', 'par', 'ce', 'dis', '___', '8', 'lb', 't']"
tcn_p011v_preTEI,nuict,"['cher', 'de', 'mouton', 'cru', '&', 'avecq', 'un', 'bandeau', 'aplique', 'la']","['sur', 'les', 'yeulx']"
tcn_p011v_preTEI,long temps,"['la', 'chair', 'en', 'tournant', 'ta', 'roue', 's', 'il', 'y', 'a']","['que', 'tu', 'n', 'y', 'as', 'travaillé']"
tcn_p012r_preTEI,jours,"['fault', 'que', 'l', 'ouvraige', 'soict', 'sec', 'de', '4', 'ou', '5']","['plustost', 'que', 'le', 'recuire', 'Quand', 'tu', 'moules', '&', 'fais', 'cave']"
tcn_p013v_preTEI,nuict,"['sur', 'un', 'brasier', 'en', 'la', 'chambre', 'de', 'quelques', 'uns', 'de']","['qu', 'ilz', 'ne', 'pourront', 'se', 'mouvoir', 'ne', 'parler', 'ne', 'donner']"
tcn_p015v_preTEI,heures,"['que', 'la', 'dent', 'faict', 'mal', '&', 'en', 'deux', 'ou', 'trois']","['ilz', 's', 'en', 'trouvent', 'bien', 'Aultres', 'mectent', 'dans', 'la', 'narine']"
tcn_p016v_preTEI,mois,"['d', 'estaing', 'et', 'bien', 'clos', '&', 'elles', 'se', 'garderont', 'six']",[]
tcn_p017r_preTEI,long temps,"['toute', 'devant', 'que', 'sortir', '&', 'la', 'l', 'impetuosité', 'est', 'plus']","['tenue', 'contraincte', 'en', 'une', 'petite', 'long', 'ue', 'piece', 'qu', 'en']"
tcn_p017v_preTEI,jour,"['de', 'pouldre', 'de', 'canon', 'dadvantaige', 'Un', 'canon', 'peult', 'tirer', 'par']","['4xx', 'ou', 'cent', 'coups', 'mays', 'il', 'le', 'fault', 'refraischir', 'à']"
tcn_p017v_preTEI,de nuict,"['s', 'les', 'logeant', 'par', 'trenchées', 'sur', 'le', 'bort', 'du', 'fossé']",[]
tcn_p020v_preTEI,Chasque matin,[],"['prens', 'deulx', 'ou', 'trois', 'oeufs', 'ponds', 'd', 'un', 'ou', 'deulx']"
tcn_p020v_preTEI,jours,"['prens', 'deulx', 'ou', 'trois', 'oeufs', 'ponds', 'd', 'un', 'ou', 'deulx']","['Fais', 'les', 'chaufer', 'jusques', '&', 'non', 'cuire', 'Prens', 'les', 'moyeulx']"
tcn_p024r_preTEI,de trois jours en trois jours,"['dans', 'les', 'quelques', 'grenades', 'pour', 'estre', 'tous', 'jours', 'pourveu', 'Et']","['tu', 'les', 'changeras', 'si', 'tu', 'les', 'cognois', 'trop', 'desechés', 'Pour']"
tcn_p024v_preTEI,denuict,"['de', 'la', 'place', 'qu', 'on', 'veult', 'battre', 'le', 'canonier', 'va']","['recognoistre', 'le', 'lieu', 'le', 'plus', 'commode', 'pour', 'faire', 'la', 'batterie']"
tcn_p024v_preTEI,de nuict,"['estonne', 'les', 'assaillis', 'Aux', 'villes', 'fortes', 'on', 'faict', 'les', 'aproches']","['mays', 'aulx', 'biquoques', 'les', 'pionniers', 'portent', 'les', 'gabions', 'et', 'portent']"
tcn_p026r_preTEI,jours,"['plus', 'd', 'effect', 'On', 'tient', 'qu', 'estant', 'chargés', 'de', 'quinze']","['&', 'tenus', 'en', 'lieu', 'sec', 'ilz', 'ont', 'plus', 'de', 'force']"
tcn_p029r_preTEI,jour,"['festons', 'qu', 'il', 'vous', 'plaira', 'qui', 'seront', 'secs', 'dans', 'un']","['Aprés', 'vous', 'les', 'apliquerés', 'avecq', 'colle', 'forte', 'ou', 'colle', 'de']"
tcn_p029r_preTEI,jour,"['qu', 'il', 'soict', 'clair', '&', 'le', 'broye', 'plusieurs', 'fois', 'le']","['l', 'espace', 'de', 'quinze', 'jour', 's', 'Puys', 'verse', 'l', 'eau']"
tcn_p029r_preTEI,jours,"['le', 'broye', 'plusieurs', 'fois', 'le', 'jour', 'l', 'espace', 'de', 'quinze']","['Puys', 'verse', 'l', 'eau', 'par', 'inclination', 'et', 'ramasse', 'le', 'plastre']"
tcn_p029r_preTEI,jours,"['à', 'l', 'air', '&', 'au', 'serain', 'l', 'espace', 'de', 'quinze']","['avecq', 'son', 'eau', 'et', 'il', 'deviendra', 'mat', 'fort', 'blanc', 'et']"
tcn_p029v_preTEI,longuem,"['poinct', 'aultrement', 'il', 'ne', 'vauldroict', 'rien', 'Et', 'le', 'laisse', 'ainsy']","['ent', 'car', 'tant', 'plus', 'il', 'y', 'demeurera', 'il', 'sera', 'plus']"
tcn_p032v_preTEI,l’esté,"['l', 'ement', 'y', 'travai', 'l', 'l', 'ent', 'i', 'l', 'z']","['Et', 'l', 'hyver', 'l', 'orsqu', 'i', 'l', 'z', 'l', 'a']"
tcn_p032v_preTEI,l’hyver,"['travai', 'l', 'l', 'ent', 'i', 'l', 'z', 'l', 'esté', 'Et']","['l', 'orsqu', 'i', 'l', 'z', 'l', 'a', 'mectent', 'en', 'besoigne']"
tcn_p037r_preTEI,long temps,"['va', 'poinct', 'ains', 'se', 'mesle', 'd', 'advantaige', 'Et', 'le', 'tenant']","['au', 'foeu', 'la', 'crasse', 'se', 'mange', 'qui', 'est', 'ce', 'qui']"
tcn_p037r_preTEI,une foys la sepmaine,"['ou', 'de', 'confitures', '&', 'en', 'fais', 'oppiatte', 'duquel', 'tu', 'prendras']","['dans', 'une', 'ostie', 'trempée', 'de', 'vin', 'Puys', 'tu', 'pourras', 'boire']"
tcn_p037v_preTEI,finde la,"['semer', 'les', 'melons', 'il', 'fault', 'que', 'ce', 'soict', 'à', 'la']","['lune', 'car', 'aultrement', 'ilz', 'boutteroient', 'trop', 'de', 'foeilles', '&', 'ne']"
tcn_p037v_preTEI,nuict,"['Mays', 'pour', 'le', 'remettre', 'il', 'le', 'fault', 'faire', 'tremper', 'une']","['dans', 'de', 'l', 'urine', 'puys', 'le', 'faire', 'bouillir', 'un', 'peu']"
tcn_p038r_preTEI,aujourd’huy,"['des', 'eglises', 'qui', 'sont', 'beaucoup', 'plus', 'espesses', 'que', 'celles', 'd']","['&', 'sont', 'de', 'plus', 'naïfves', 'couleurs', 'Si', 'c', 'est', 'pour']"
tcn_p038v_preTEI,tous les ans,"['Il', 'les', 'fault', 'espurger']","['de', 'sorte', 'qu', 'il', 'n', 'y', 'demeure', 'qu', 'un', 'pied']"
tcn_p038v_preTEI,tous les ans,"['un', 'pied', '&', 'les', 'arrouser', 'fort', 'L', 'En', 'replanter', 'aussy']","['car', 'la', 'seconde', 'annee', 'ilz', 'porteront', 'fort', 'beau', 'fruit']"
tcn_p038v_preTEI,secondeannee,"['fort', 'L', 'En', 'replanter', 'aussy', 'tous', 'les', 'ans', 'car', 'la']","['ilz', 'porteront', 'fort', 'beau', 'fruit']"
tcn_p038v_preTEI,jour de,"['On', 'dict', 'que', 'rarement', 'l', 'abre', 'planté', 'le']","['Saint', 'Paul', 'fault', 'à', 'prendre', '&', 'pour', 'couvrir', 'les', 'ampeaulx']"
tcn_p039r_preTEI,tous les ans,"['le', 'fonds', 'de', 'la', 'terre', 'est', 'si', 'fertil', 'que', 'si']","['on', 'y', 'cultivoit', 'le', 'bled', 'il', 'se', 'coucheroict', 'pour', 'estre']"
tcn_p039r_preTEI,à la,"['comme', 'pour', 'semer', 'quelques', 'herbes', 'potaigeres', 'On', 'le', 'seme', 'communement']","['Saint', 'Anthoine', 'de', 'janvier', 'On', 'en', 'faict', 'huict', 'racoltes', 'Les']"
tcn_p040r_preTEI,esté,"['ou', 'vinette', '&', 'de', 'la', 'racine', 'qui', 'est', 'jaune', 'l']","['ilz', 'en', 'taignent', 'du', 'filet', '&', 'choses', 'semblables']"
tcn_p040v_preTEI,long temps,"['en', 'va', 'en', 'fumée', 'en', 'fondant', 'L', 'estain', 'meslé', 'tient']","['au', 'foeu', 'mays', 'la', 'cendrée', 'le', 'separe']"
tcn_p041r_preTEI,an suivant,"['premiere', 'gecte', '&', 'il', 'ne', 'reboutte', '&', 'florist', 'que', 'l']","['&', 'croy', 'que', 'les', 'herbes', 'bulbeuses', 'font', 'ainsy']"
tcn_p041r_preTEI,moys,"['Les', 'domestiques', 'petits', 'ne', 'croissent', 'd', 'un']","['aprés', 'qu', 'ilz', 'sont', 'esclos', 'ains', 'demeurent', 'en', 'cest', 'estat']"
tcn_p041v_preTEI,long,"['escaille', 'de', 'fer', 'qui', 'se', 'prend', 'des', 'barres', 'qui', 'ont']","['temps', 'esté', 'au', 'foeu', '&', 'qui', 'est', 'espesse', 'est', 'beaucoup']"
tcn_p041v_preTEI,an,"['c', 'est', 'à', 'dire', 'chastrer', 'comme', 'ilz', 'sont', 'd', 'un']","['ou', 'deulx', 'il', 'ne', 'fault', 'pas', 'qu', 'il', 'aye', 'esté']"
tcn_p042v_preTEI,au soir,"['d', 'aspic', 'et', 'un', 'peu', 'de', 'mastic', 'Et', 'le', 'mectre']","['dedans', 'un', 'vaisse', 'au', 'tout', 'ensemble', 'bien', 'pilé', 'sans', 'foeu']"
tcn_p043r_preTEI,advents de Noël,"['Il', 'les', 'fault', 'enter', 'en', 'aulx']","['pourveu', 'qu', 'il', 'ne', 'gele', 'pas', 'trop']"
tcn_p043r_preTEI,hora,"['a', 'pignatta', 'sublimatorio', 'di', 'vetro', 'tenerlo', 'sopra', 'picciol', 'fuoco', 'una']","['&', 'una', 'hora', 'un', 'poco', 'piu', 'forte', '&', 'una', 'hora']"
tcn_p043r_preTEI,hora,"['di', 'vetro', 'tenerlo', 'sopra', 'picciol', 'fuoco', 'una', 'hora', '&', 'una']","['un', 'poco', 'piu', 'forte', '&', 'una', 'hora', 'bonissimo', 'fuoco', 'et']"
tcn_p043r_preTEI,hora,"['hora', '&', 'una', 'hora', 'un', 'poco', 'piu', 'forte', '&', 'una']","['bonissimo', 'fuoco', 'et', 'sarà', 'fatto', 'Dapoi', 'per', 'adoperarla', 'datte', 'il']"
tcn_p043v_preTEI,heures,"['du', 'bresil', 'bien', 'menu', 'mectés', 'le', 'tremper', 'une', 'ou', 'deux']","['dans', 'eau', 'claire', 'puys', 'prenés', 'ceste', 'eau', 'taincte', '&', 'adjoustés']"
tcn_p044r_preTEI,heures,"['l', 'aplique', 'sur', 'du', 'papier', '&', 'si', 'une', 'ou', 'deux']","['aprés', 'elle', 'ne', 's', 'y', 'meurt', 'poinct', 'elle', 'est', 'fine']"
tcn_p044v_preTEI,jours,"['et', 'la', 'mects', 'en', 'bain', 'fort', 'lent', 'trois', 'ou', '4']","['Puys', 'separe', 'ta', 'decoction', 'de', 'la', 'residence', 'de', 'laquelle', 'en']"
tcn_p044v_preTEI,jours,"['de', 'verre', 'laquelle', 'tu', 'poseras', 'au', 'bain', 'marie', 'par', 'deulx']","['et', 'ton', 'huile', 'viendra', 'blanc', 'Duquel', 'si', 'tu', 'frottes', 'un']"
tcn_p046r_preTEI,matins,"['ou', 'cinq', '&', 'le', 'l', 'espace', 'de', '4', 'ou', 'cinq']","['fais', 'en', 'cuire', 'un', 'et', 'ayant', 'meslé', 'dedans', 'un', 'peu']"
tcn_p046r_preTEI,en tout,"['Celles', 'qui', 'se', 'voy', 'en', 't']","['ess', 'les', 'r', 'en', 'ouveaulx', 'de', '☾', 'ne', 'vi', 'en']"
tcn_p047r_preTEI,au descroissant de la lune,"['au', 'col', 'de', 'la', 'racine', 'de', 'pæonia', 'qui', 'soict', 'cuillie']",[]
tcn_p047v_preTEI,en hyver,"['Ceulx', 'qui', 'se', 'font']","['&', 'temps', 'humide', 'ne', 'sont', 'pas', 'bons', 'Ceulx', 'des', 'fondeurs']"
tcn_p047v_preTEI,tempshumide,"['Ceulx', 'qui', 'se', 'font', 'en', 'hyver', '&']","['ne', 'sont', 'pas', 'bons', 'Ceulx', 'des', 'fondeurs', 'doibvent', 'estre', 'espés']"
