freq,verbatim_term,prefLabel_en
1,small beads,small bead
1,good hours,hour
1,capacity of one pitcher or earthen jug,capacity of one pitcher or earthen jug
1,by half,by half
1,size of a pigeon egg,size of a pigeon egg
1,times per day,times per day
1,as long as a ring finger,as long as a ring finger
1,shorter by half,shorter by half
1,until holy week,until holy week
1,joint of the little finger,joint of the little finger
1,space of fifteen days,space of fifteen day
1,as much iron filings,as much iron filing
1,big cauldron,big cauldron
1,double handfuls,handful
1,as much pigeon dung as the said earth,as much pigeon dung as the said earth
1,as much horse dung,as much horse dung
2,size of a pea,size of a pea
1,almost half,half
1,a glass thumb thick,a glass thumb thick
1,in half,in half
2,times a day,times a day
1,as much in one go as one can hold in a card folded up like a cannule,as much in one go as one can hold in a card folded up like a cannule
1,degree of heat,degree of heat
1,to know if it is hot enough,to know if it is hot enough
1,half lb,lb
1,quarter ounce,ounce
1,for the space of twenty-four hours,for the space of twenty-four hour
1,space of half an hour,space of half an hour
1,half ounce,ounce
2,twice as much,twice as much
1,twice as long as the ascending pipe,twice as long as the ascending pipe
1,as long as,as long a
1,third part into as many distances as is necessary with regard to the total division of the circle,part
1,distances as small as those of the small cogwheels,distances as small as those of the small cogwheel
1,equal distances,equal distance
1,thicknesses of paper,thicknesses of paper
1,thickness of a coin of forty sous,thickness of a coin of forty sou
1,every two years,year
1,once a month,once
1,a day,day
1,finger’s thickness across,finger’s thickness across
1,lb a dozen,lb
1,fingers in thickness,finger
2,half hour,hour
1,half ℥,half
1,all year,year
1,as much of the white calcined pebbles,as much of the white calcined pebble
2,hour &amp; a half,hour
1,by two tiles,by two tile
1,weight of a grain,weight of a grain
1,grains of gold,grain
1,one weight of calcined pebbles on three of minium,one weight of calcined pebbles on three of minium
1,as much,as much
1,one part of pumice stone calcined &amp; pulverized &amp; tr with three parts of minium,one part of pumice stone calcined &amp; pulverized &amp; tr with three parts of minium
1,square thumbs,thumb
1,lb. &amp; a half,lb. &amp; a half
1,dutch quill,dutch quill
1,fingers’ width,fingers’ width
1,small knife back,small knife back
1,for a month,for a month
1,twice a day,day
1,for the time it takes you to say 8 paternoster,for the time it takes you to say 8 paternoster
1,for the space of 9 days,for the space of 9 day
1,thickness of a teston,thickness of a teston
1,liard’s worth,liard’s worth
3,third part,part
1,in the month of january,in the month of january
1,until the beginning of august,until the beginning of august
1,from mid-may,from mid-may
1,good amount,good amount
1,size of a walnut,size of a walnut
3,quarter hour,hour
1,fourth part lead for three parts tin,fourth part lead for three parts tin
1,"thin p, like the thick strings of a spinet, for the small works","thin p, like the thick strings of a spinet, for the small work"
1,"thick like cord, smaller","thick like cord, smaller"
1,size of two chestnuts,size of two chestnut
1,an hour or a half,hour
1,as much as a grain of millet,as much as a grain of millet
1,quarter of an hour,quarter
1,as much sal ammoniac water as can be held in an egg,as much sal ammoniac water as can be held in an egg
1,or two eggs,or two egg
1,length of a paternoster,length
1,"hottish, such that you can hold it in your hand","hottish, such that you can hold it in your hand"
1,as the size of an hazelnut with its shell,as the size of an hazelnut with its shell
1,lb &amp; a half or two,lb
1,the same size as a bottle in which one boils tisane,the same size as a bottle in which one boils tisane
1,as much as two walnuts,as much as two walnut
1,half a glass,half a glass
2,size of a bean,size of a bean
1,silver spoonfuls,spoonful
1,thickness of a the width of a grain of wheat,thickness of a the width of a grain of wheat
1,thickness of a piece of paper,thickness of a piece of paper
1,three or four days and three days and three nights,day
1,when their season is past,when their season is past
1,several days,day
1,small double handful,small double handful
1,as much as you can take with 4 fingers and the thumb,as much as you can take with 4 fingers and the thumb
1,"earthenware bowl, from which the peasants eat their soup","earthenware bowl, from which the peasants eat their soup"
1,in the early morning,in the early morning
1,natural day,day
1,fourth or fifth part,part
1,for a whole day,for a whole day
1,as much as borax,as much as borax
1,quarter heavier than,quarter heavier than
1,thickness of a knife,thickness of a knife
1,one day and one night,day
1,two times as much,two times as much
1,good fingers,finger
1,size of a hazelnut,size of a hazelnut
1,nearly as much of one as the other,nearly as much of one as the other
1,half an arquebus ball,ball
1,like the heat of the sun in june,like the heat of the sun in june
1,"hot enough, like when one takes out the bread","hot enough, like when one takes out the bread"
1,a day &amp; a night,day
1,after the bread has been taken out,after the bread has been taken out
1,several times each day,several times each day
1,half of the others,half
2,as much as a bean,as much as a bean
1,"of such heat that you cannot hold your finger there, without feeling strong heat","of such heat that you cannot hold your finger there, without feeling strong heat"
1,"test for this effect with paper. if it turns the paper red, it is enough, it is good to cast, but if it blackens the paper, it is too hot.","test for this effect with paper. if it turns the paper red, it is enough, it is good to cast, but if it blackens the paper, it is too hot."
1,cold water,cold water
1,"when it makes large tracts se re pulling at the edges, &amp; motionless, &amp; close to one to another","when it makes large tracts se re pulling at the edges, &amp; motionless, &amp; close to one to another"
1,bowl with handles,bowl with handle
1,at least as long,at least as long
1,"water so hot, that, at the beginning, you cannot hold your finger in it","water so hot, that, at the beginning, you cannot hold your finger in it"
1,a good hour,hour
1,as a large walnut,as a large walnut
1,when it no longer smokes,when it no longer smoke
1,cool in such a way that i could hold my finger to it without burning myself,cool in such a way that i could hold my finger to it without burning myself
1,"to know when it is at a good heat, dip a little piece of twisted paper into it. if it blackens it without lighting, it is at a good heat. but if it burns it &amp; catches fire there, it is too hot","to know when it is at a good heat, dip a little piece of twisted paper into it. if it blackens it without lighting, it is at a good heat. but if it burns it &amp; catches fire there, it is too hot"
1,"grains, like peas",grain
1,of such capacity that the end of a little finger can almost enter it,of such capacity that the end of a little finger can almost enter it
1,overnight in a good fire until the morning,overnight in a good fire until the morning
1,thickness of the back of a knife,thickness of the back of a knife
1,half of its thickness,half
1,the winter,the winter
2,during winter,during winter
1,the size of a pine nut,the size of a pine nut
1,sous from france,sou
1,sous from spain,sou
1,when it quivers,when it quiver
1,thumbs breadth,thumbs breadth
1,height of a man,height of a man
1,écu’s weight,écu’s weight
