parent,culprit,correction
http://fieldnotes.makingandknowing.org/mainSpace/Caitlyn%20Sellar%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Sellar%20-%20AP%20FA16.html,
http://fieldnotes.makingandknowing.org/mainSpace/Caitlyn%20Sellar%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Sellar%20-%20MDR%20FA16.html,
http://fieldnotes.makingandknowing.org/mainSpace/Nisse%2C%20Cleo%202.html,http://fieldnotes.makingandknowing.org/mainSpace/Verdigris%20Cleo.html,
http://fieldnotes.makingandknowing.org/mainSpace/Teresa%20Soley%20-%20Field%20Notes%20SP16.html,http://fieldnotes.makingandknowing.org/mainSpace/Teresa%20Soley%20-%20Field%20Notes%20SP16%20-%20Red%20Lake%20Highlights%20on%20Distemper.html,
http://fieldnotes.makingandknowing.org/mainSpace/Field%20Notes%20Fall%202015.html,http://fieldnotes.makingandknowing.org/mainSpace/Estrades%20-%20Field%20Notes%20FA15.html,
http://fieldnotes.makingandknowing.org/mainSpace/Field%20Notes%20Fall%202015.html,http://fieldnotes.makingandknowing.org/mainSpace/Kremnitzer%2C%20Kathryn%C2%A0-%C2%A0Field%20Notes%20FA15.html,
http://fieldnotes.makingandknowing.org/mainSpace/Field%20Notes%20Fall%202015.html,http://fieldnotes.makingandknowing.org/mainSpace/Lou%20-%20Field%20Notes%20FA15.html,
http://fieldnotes.makingandknowing.org/mainSpace/Field%20Notes%20Fall%202015.html,http://fieldnotes.makingandknowing.org/mainSpace/Rosenkranz%20-%20Field%20Notes%20FA15.html,
http://fieldnotes.makingandknowing.org/mainSpace/Field%20Notes%20Fall%202015.html,http://fieldnotes.makingandknowing.org/mainSpace/Shah%C2%A0-%C2%A0Field%20Notes%20FA15.html,
http://fieldnotes.makingandknowing.org/mainSpace/Field%20Notes%20Fall%202015.html,http://fieldnotes.makingandknowing.org/mainSpace/Zhao%C2%A0-%C2%A0Field%20Notes%20FA15.html,
http://fieldnotes.makingandknowing.org/mainSpace/Shadows%2C%20Distempers%20and%20Black%20%28Cleo%29.html,http://fieldnotes.makingandknowing.org/mainSpace/.htmlExcerpts%20from%20Ms.%20Fr%20640%20that%20relate%20to%20this%20research,http://fieldnotes.makingandknowing.org/mainSpace/Excerpts%20from%20Ms.%20Fr%20640%20that%20relate%20to%20this%20research.html
http://fieldnotes.makingandknowing.org/mainSpace/Shadows%2C%20Distempers%20and%20Black%20%28Cleo%29.html,http://fieldnotes.makingandknowing.org/mainSpace/.htmlRelevant%20excerpts%20from%20other%20sources,http://fieldnotes.makingandknowing.org/mainSpace/Relevant%20excerpts%20from%20other%20sources.html
http://fieldnotes.makingandknowing.org/mainSpace/Shadows%2C%20Distempers%20and%20Black%20%28Cleo%29.html,http://fieldnotes.makingandknowing.org/mainSpace/.htmlThe%20context%20of%20the%20%27recipe%27%20within%20Ms.%20Fr%20640Notes%20from%20secondary%20sources,http://fieldnotes.makingandknowing.org/mainSpace/The%20context%20of%20the%20%27recipe%27%20within%20Ms.%20Fr%20640Notes%20from%20secondary%20sources.html
http://fieldnotes.makingandknowing.org/mainSpace/Shadows%2C%20Distempers%20and%20Black%20%28Cleo%29.html,http://fieldnotes.makingandknowing.org/mainSpace/.htmlThe%20context%20of%20the%20%27recipe%27%20within%20Ms.%20Fr%20640Notes%20from%20secondary%20sources,http://fieldnotes.makingandknowing.org/mainSpace/The%20context%20of%20the%20%27recipe%27%20within%20Ms.%20Fr%20640Notes%20from%20secondary%20sources.html
http://fieldnotes.makingandknowing.org/mainSpace/Shadows%2C%20Distempers%20and%20Black%20%28Cleo%29.html,http://fieldnotes.makingandknowing.org/mainSpace/.htmlThe%20historical%20questions%20this%20research%20will%20address,http://fieldnotes.makingandknowing.org/mainSpace/The%20historical%20questions%20this%20research%20will%20address.html
http://fieldnotes.makingandknowing.org/mainSpace/Soley%20-%20Field%20Notes%20SP16%20-%20Varnish%20Annotation.html,http://fieldnotes.makingandknowing.org/mainSpace/.htmlGNS%20-%20Field%20Notes%20SP16%20-%20Ms.%20Fr.%20640%20Recipes,http://fieldnotes.makingandknowing.org/mainSpace/GNS%20-%20Field%20Notes%20SP16%20-%20Ms.%20Fr.%20640%20Recipes.html
http://fieldnotes.makingandknowing.org/mainSpace/Soley%20-%20Field%20Notes%20SP16%20-%20Varnish%20Annotation.html,http://fieldnotes.makingandknowing.org/mainSpace/.htmlGNS%20-%20Field%20Notes%20SP16%20-%20Contemporary%20Recipes,http://fieldnotes.makingandknowing.org/mainSpace/GNS%20-%20Field%20Notes%20SP16%20-%20Contemporary%20Recipes.html
http://fieldnotes.makingandknowing.org/mainSpace/Soley%20-%20Field%20Notes%20SP16%20-%20Varnish%20Annotation.html,http://fieldnotes.makingandknowing.org/mainSpace/.htmlGNS%20-%20Field%20Notes%20SP16%20-%20Secondary%20Source%20Notes,http://fieldnotes.makingandknowing.org/mainSpace/GNS%20-%20Field%20Notes%20SP16%20-%20Secondary%20Source%20Notes.html
http://fieldnotes.makingandknowing.org/mainSpace/Soley%20-%20Field%20Notes%20SP16%20-%20Varnish%20Annotation.html,http://fieldnotes.makingandknowing.org/mainSpace/.htmlGNS%20-%20Field%20Notes%20SP16%20-%20Experimental%20Field%20Notes,http://fieldnotes.makingandknowing.org/mainSpace/GNS%20-%20Field%20Notes%20SP16%20-%20Experimental%20Field%20Notes.html
http://fieldnotes.makingandknowing.org/mainSpace/Emilie%C2%A0Foyer%20-%20Field%20Notes%20FA15.html,http://fieldnotes.makingandknowing.org/mainSpace/Madder%20Lake%20Reconstruction%C2%A0.html,
http://fieldnotes.makingandknowing.org/mainSpace/Field%20Notes%20Fall%202015.html,http://fieldnotes.makingandknowing.org/mainSpace/Estrades%20-%20Field%20Notes%20FA15.html,
http://fieldnotes.makingandknowing.org/mainSpace/Field%20Notes%20Fall%202015.html,http://fieldnotes.makingandknowing.org/mainSpace/Kremnitzer%2C%20Kathryn%C2%A0-%C2%A0Field%20Notes%20FA15.html,
http://fieldnotes.makingandknowing.org/mainSpace/Field%20Notes%20Fall%202015.html,http://fieldnotes.makingandknowing.org/mainSpace/Lou%20-%20Field%20Notes%20FA15.html,
http://fieldnotes.makingandknowing.org/mainSpace/Sayantani%C2%A0Mukherjee%20-%20Field%20Notes%20FA15.html,http://fieldnotes.makingandknowing.org/mainSpace/Mukherjee-Home%20Culinary%20Reconstruction%20Experiment%20FA15.html,
http://fieldnotes.makingandknowing.org/mainSpace/Sayantani%C2%A0Mukherjee%20-%20Field%20Notes%20FA15.html,http://fieldnotes.makingandknowing.org/mainSpace/Notes.html,
http://fieldnotes.makingandknowing.org/mainSpace/Field%20Notes%20Fall%202015.html,http://fieldnotes.makingandknowing.org/mainSpace/Rosenkranz%20-%20Field%20Notes%20FA15.html,
http://fieldnotes.makingandknowing.org/mainSpace/Field%20Notes%20Fall%202015.html,http://fieldnotes.makingandknowing.org/mainSpace/Shah%C2%A0-%C2%A0Field%20Notes%20FA15.html,
http://fieldnotes.makingandknowing.org/mainSpace/Field%20Notes%20Fall%202015.html,http://fieldnotes.makingandknowing.org/mainSpace/Zhao%C2%A0-%C2%A0Field%20Notes%20FA15.html,
http://fieldnotes.makingandknowing.org/mainSpace/Nicole%20Basile%20-%20Field%20Notes%20SP17.html,http://fieldnotes.makingandknowing.org/mainSpace/Basile-BreadMolds-SP17.html,http://fieldnotes.makingandknowing.org/mainSpace/Basile-BreadMolding-SP17.html
http://fieldnotes.makingandknowing.org/mainSpace/Spring%202017%20Digital%20Archive.html,http://fieldnotes.makingandknowing.org/mainSpace/.htmlDH%20Field%20Notes%20-%20Spring%202017,http://fieldnotes.makingandknowing.org/mainSpace/DH%20Field%20Notes%20-%20Spring%202017.html
http://fieldnotes.makingandknowing.org/mainSpace/Fall%202016%20Archive.html,http://fieldnotes.makingandknowing.org/mainSpace/Sau-yi%20Fong%20-%20Field%20Notes%20FA16.html,"http://fieldnotes.makingandknowing.org/mainSpace/Fong,%20Sau-yi%20-%20Field%20Notes%20FA16.html"
http://fieldnotes.makingandknowing.org/mainSpace/Joslyn%20DeVinney%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/DeVinney-BMR%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/DeVinney%20-%20BMR%20FA16.html
http://fieldnotes.makingandknowing.org/mainSpace/Joslyn%20DeVinney%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/DeVinney%20-%20Annotation%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/DeVinney%20-%20Annotation%20-%20Smoke%20as%20Medicine%20FA16.html
http://fieldnotes.makingandknowing.org/mainSpace/Ana%20Matisse%20Donefer-Hickie%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Donefer-Hickie%20-%20AP%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Donefer-Hickie%20-%20AP-ForCagesFA16.html
http://fieldnotes.makingandknowing.org/mainSpace/Ana%20Matisse%20Donefer-Hickie%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Donefer-Hickie%20-%20A%20-%20ForCagesFA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Donefer-Hickie%20-%20Annotation%20-%20ForCagesFA16.html
http://fieldnotes.makingandknowing.org/mainSpace/Fall%202016%20Archive.html,http://fieldnotes.makingandknowing.org/mainSpace/Benjamin%20Hiebert%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Hiebert%20-%20Field%20Notes%20FA16.html
http://fieldnotes.makingandknowing.org/mainSpace/Fall%202016%20Archive.html,http://fieldnotes.makingandknowing.org/mainSpace/Charles%20Kang%20-%20Field%20Notes%20FA16.html,"http://fieldnotes.makingandknowing.org/mainSpace/Kang,%20Charles%20-%20Field%20Notes%20FA16.html"
http://fieldnotes.makingandknowing.org/mainSpace/Amy%20Chang%20-%20Field%20Notes%20SP16.html,http://fieldnotes.makingandknowing.org/mainSpace/.htmlOlivia%20Clemens%20-%20Field%20Notes%20SP16,http://fieldnotes.makingandknowing.org/mainSpace/Olivia%20Clemens%20-%20Field%20Notes%20SP16.html
http://fieldnotes.makingandknowing.org/mainSpace/Olivia%20Clemens%20-%20Field%20Notes%20SP16.html,http://fieldnotes.makingandknowing.org/mainSpace/.htmlGoldenberg-%20Verdigris,http://fieldnotes.makingandknowing.org/mainSpace/Goldenberg-%20Verdigris.html
