original,new
http://fieldnotes.makingandknowing.org/mainSpace/Grabovskiy%20-%20Verdigris%20SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017/Spring-2017-Field-Notes/Sasha-/Verdigris.html
http://fieldnotes.makingandknowing.org/mainSpace/Grabovskiy%20-%20Bread%20Molding%2017.html,http://fieldnotes.makingandknowing.org/main/Spring-2017/Spring-2017-Field-Notes/Sasha-/Bread-Molding.html
http://fieldnotes.makingandknowing.org/mainSpace/Grabovskiy%20-%20Silkworm%20Annotation%20SP%202017.html,http://fieldnotes.makingandknowing.org/main/Spring-2017/Spring-2017-Field-Notes/Sasha-/Annotation-Silkworm.html
http://fieldnotes.makingandknowing.org/mainSpace/Sasha%20Grabovskiy%20-%20Field%20Notes%20SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017/Spring-2017-Field-Notes/Grabovskiy/index.html
http://fieldnotes.makingandknowing.org/mainSpace/Grabovskiy%20-%20Reconstruction%20SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017/Spring-2017-Field-Notes/Grabovskiy/Historical-Culinary-Recipe-Reconstruction.html
http://fieldnotes.makingandknowing.org/mainSpace/Grabovskiy%20-%20Verdigris%20SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017/Spring-2017-Field-Notes/Grabovskiy/Verdigris.html
http://fieldnotes.makingandknowing.org/mainSpace/Grabovskiy%20-%20Bread%20Molding%2017.html,http://fieldnotes.makingandknowing.org/main/Spring-2017/Spring-2017-Field-Notes/Grabovskiy/Bread-Molding.html
http://fieldnotes.makingandknowing.org/mainSpace/Grabovskiy%20-%20Silkworm%20Annotation%20SP%202017.html,http://fieldnotes.makingandknowing.org/main/Spring-2017/Spring-2017-Field-Notes/Grabovskiy/Annotation-Silkworm.html
http://fieldnotes.makingandknowing.org/mainSpace/Xiaomeng%20Liu%20-%20Field%20Notes%20SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017/Spring-2017-Field-Notes/Xiaomeng-Liu/index.html
http://fieldnotes.makingandknowing.org/mainSpace/Liu-HCR%20SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017/Spring-2017-Field-Notes/Xiaomeng-Liu/Historical-Culinary-Recipe-Reconstruction.html
http://fieldnotes.makingandknowing.org/mainSpace/Liu-Verdigris%20SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017/Spring-2017-Field-Notes/Xiaomeng-Liu/Verdigris.html
http://fieldnotes.makingandknowing.org/mainSpace/Liu-Breadmolding%20SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017/Spring-2017-Field-Notes/Xiaomeng-Liu/Bread-molding.html
http://fieldnotes.makingandknowing.org/mainSpace/Liu-Madder_SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017/Spring-2017-Field-Notes/Xiaomeng-Liu/Madder-Lake.html
http://fieldnotes.makingandknowing.org/mainSpace/Liu-Annotation1_SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017/Spring-2017-Field-Notes/Xiaomeng-Liu/Annotation-plan-.html
http://fieldnotes.makingandknowing.org/mainSpace/Liu-AnnotationSalve_SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017/Spring-2017-Field-Notes/Xiaomeng-Liu/Annotation-1-Salve-for-burn.html
http://fieldnotes.makingandknowing.org/mainSpace/Liu_AnnotationTeeth%20SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017/Spring-2017-Field-Notes/Xiaomeng-Liu/Annotation-2-For-the-teeth.html
http://fieldnotes.makingandknowing.org/mainSpace/Liu-AnnotationPlaster%20SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017/Spring-2017-Field-Notes/Xiaomeng-Liu/Annotation-3-plaster.html
http://fieldnotes.makingandknowing.org/mainSpace/Ariane%20van%20Buren%20-%20Field%20Notes%20SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017/Spring-2017-Field-Notes/Ariane-van-Buren/index.html
http://fieldnotes.makingandknowing.org/mainSpace/vanBuren-HCR-SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017/Spring-2017-Field-Notes/Ariane-van-Buren/Historical-Culinary-Recipe-Reconstruction.html
http://fieldnotes.makingandknowing.org/mainSpace/vanBuren-Verdigris-SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017/Spring-2017-Field-Notes/Ariane-van-Buren/Verdigris.html
http://fieldnotes.makingandknowing.org/mainSpace/vanBuren_BreadMolding_SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017/Spring-2017-Field-Notes/Ariane-van-Buren/Bread-Molding.html
http://fieldnotes.makingandknowing.org/mainSpace/vanBuren_SP17_Annotation.html,http://fieldnotes.makingandknowing.org/main/Spring-2017/Spring-2017-Field-Notes/Ariane-van-Buren/Annotation.html
http://fieldnotes.makingandknowing.org/mainSpace/Wang%20-%20Field%20Notes%20SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017/Spring-2017-Field-Notes/Xinguo-(Casa)-Wang-/index.html
http://fieldnotes.makingandknowing.org/mainSpace/Annotation%20Fish%20Glue.html,http://fieldnotes.makingandknowing.org/main/Spring-2017/Spring-2017-Field-Notes/Xinguo-(Casa)-Wang-/Annotation-Fish-Glue.html
http://fieldnotes.makingandknowing.org/mainSpace/Spring%202017%20Digital%20Archive.html,http://fieldnotes.makingandknowing.org/main/Spring-2017-Digital/index.html
http://fieldnotes.makingandknowing.org/mainSpace/.htmlDH%20Field%20Notes%20-%20Spring%202017,http://fieldnotes.makingandknowing.org/main/Spring-2017-Digital/Field-Notes/index.html
http://fieldnotes.makingandknowing.org/mainSpace/Sohini%20Chattopadhyay%20-%20DH%20Field%20Notes%20SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017-Digital/Field-Notes/Sohini-Chattopadhyay/index.html
http://fieldnotes.makingandknowing.org/mainSpace/structuring%20metadata.html,http://fieldnotes.makingandknowing.org/main/Spring-2017-Digital/Field-Notes/Sohini-Chattopadhyay/First-Metadata-Table.html
http://fieldnotes.makingandknowing.org/mainSpace/Second%20Metadata%20Table.html,http://fieldnotes.makingandknowing.org/main/Spring-2017-Digital/Field-Notes/Sohini-Chattopadhyay/Second-Metadata-Table.html
http://fieldnotes.makingandknowing.org/mainSpace/creating%20a%20consolidated%20file%20of%20all%20assigned%20folios.html,http://fieldnotes.makingandknowing.org/main/Spring-2017-Digital/Field-Notes/Sohini-Chattopadhyay/Creating-a-consolidated-file-of-all-assigned-folios.html
http://fieldnotes.makingandknowing.org/mainSpace/Harry%20Mairson.html,http://fieldnotes.makingandknowing.org/main/Spring-2017-Digital/Field-Notes/Sohini-Chattopadhyay/Guest-Lecture-Harry-Mairson.html
http://fieldnotes.makingandknowing.org/mainSpace/Classnote%20on%20Minimal%20Computing.html,http://fieldnotes.makingandknowing.org/main/Spring-2017-Digital/Field-Notes/Sohini-Chattopadhyay/Classnote-on-Minimal-Computing.html
http://fieldnotes.makingandknowing.org/mainSpace/Markdown%20entry%20files.html,http://fieldnotes.makingandknowing.org/main/Spring-2017-Digital/Field-Notes/Sohini-Chattopadhyay/Markdown-entry-files.html
http://fieldnotes.makingandknowing.org/mainSpace/Classnote%20on%20Introduction%20to%20XML.html,http://fieldnotes.makingandknowing.org/main/Spring-2017-Digital/Field-Notes/Sohini-Chattopadhyay/Classnote-on-Introduction-to-XML.html
http://fieldnotes.makingandknowing.org/mainSpace/Readings%20on%20XML.html,http://fieldnotes.makingandknowing.org/main/Spring-2017-Digital/Field-Notes/Sohini-Chattopadhyay/Readings-on-XML.html
http://fieldnotes.makingandknowing.org/mainSpace/XML%20tagging%20in%20entry-files.html,http://fieldnotes.makingandknowing.org/main/Spring-2017-Digital/Field-Notes/Sohini-Chattopadhyay/XML-tagging-in-entry-files.html
http://fieldnotes.makingandknowing.org/mainSpace/XSLT%20DTD.html,http://fieldnotes.makingandknowing.org/main/Spring-2017-Digital/Field-Notes/Sohini-Chattopadhyay/XSLT-DTD.html
http://fieldnotes.makingandknowing.org/mainSpace/Jiayi%20Li%20-%20DH%20Field%20Notes%20SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017-Digital/Field-Notes/Jiayi-Li/index.html
http://fieldnotes.makingandknowing.org/mainSpace/Li%20-%20Lab%203%20-%20Metadata%20SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017-Digital/Field-Notes/Jiayi-Li/lab-3-Metadata.html
http://fieldnotes.makingandknowing.org/mainSpace/Xiaomeng%20Liu%20-%20DH%20Field%20Notes%20SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017-Digital/Field-Notes/Xiaomeng-Liu/index.html
http://fieldnotes.makingandknowing.org/mainSpace/Liu-Lab3-Metadata%20SP17DH.html,http://fieldnotes.makingandknowing.org/main/Spring-2017-Digital/Field-Notes/Xiaomeng-Liu/Lab-3-Metadata.html
