folio,text in tag,before,after
tl_p085v_preTEI,sous,"['hollow', '&', 'of', 'the', 'thickness', 'of', 'a', 'coin', 'of', 'forty']","['I', 'cast', 'very', 'hot']"
tl_p094r_preTEI,sous,"['quite', 'convenient', 'To', 'The', 'beautiful', 'skin', 'costs', 'fifty', 'or', 'lx']","['&', '4', 'or', 'five', 'dozen', 'grips', 'are', 'made', 'from', 'it']"
tl_p094v_preTEI,sous,"['A', 'grip', 'of', 'fine', 'gold', 'is', 'worth', '18', 'or', '20']",[]
tl_p095r_preTEI,lb,"['Blades', 'from', 'Vienne', 'commonly', 'cost', 'xviii', 'or', '19']","['a', 'dozen']"
tl_p095r_preTEI,liard,"['or', 'has', 'done', 'by', 'locksmiths', 'or', 'farriers', 'giving', 'him', 'some']","['for', 'his', 'charcoal', 'Next', 'they', 'pass', 'it', 'over', 'a', 'grindstone']"
tl_p095v_preTEI,sous,"['end', 'is', 'bought', 'ready-made', 'by', 'the', 'dozen', 'which', 'costs', 'six']","['for', 'the', 'small', 'ones', 'but', 'for', 'the', 'the', 'big', 'ones']"
tl_p095v_preTEI,lb,"['by', 'dozens', 'the', 'dozen', 'of', 'plain', 'ones', 'commonly', 'costs', 'x']","['The', 'worked', 'piece', '30', 'sous', 'or', 'depending', 'on', 'its', 'fashion']"
tl_p095v_preTEI,sous,"['plain', 'ones', 'commonly', 'costs', 'x', 'lb', 'The', 'worked', 'piece', '30']","['or', 'depending', 'on', 'its', 'fashion']"
tl_p095v_preTEI,sous,"['ready', 'made', 'a', 'hundred', 'for', 'xv', 'or', 'xx', 'or', '30']","['depending', 'on', 'the', 'distance', 'from', 'the', 'place', 'where', 'they', 'are']"
tl_p096r_preTEI,sous,"['or', 'calf', 'A', 'waxed', 'scabbard', 'is', 'worth', 'at', 'least', 'xxx']","['a', 'cow', 'one', 'xx', 'sous']"
tl_p096r_preTEI,sous,"['is', 'worth', 'at', 'least', 'xxx', 'sous', 'a', 'cow', 'one', 'xx']",[]
tl_p097r_preTEI,sous,"['than', 'for', 'painters', 'A', 'quarteron', 'is', 'worth', 'fifty', 'or', 'lx']",[]
tl_p103v_preTEI,teston,"['one', 'first', 'covers', 'the', 'medal', 'to', 'the', 'thickness', 'of', 'a']",[]
tl_p104r_preTEI,liard,"['Then', 'to', 'etch', 'it', '&', 'make', 'the', 'water', 'take', 'a']","['s', 'worth', 'of', 'verdet', '&', 'put', 'in', 'twice', 'as', 'much']"
tl_p121v_preTEI,teston,"['leg', 'animal', 'against', 'another', 'or', 'to', 'repair', 'it', 'is', 'commonly']","['silver', 'And', 'all', 'alloyed', 'silver', 'as', 'long', 'as', 'it', 'is']"
tl_p121v_preTEI,sous,"['they', 'would', 'buy', 'much', 'of', 'it', 'Some', 'buy', 'it', 'five']","['for', 'a', 'denier']"
tl_p123r_preTEI,sous,"['of', 'this', 'substance', 'sell', 'a', 'denier', 'of', 'it', 'for', '5']","['to', 'other', 'goldsmiths', '&', 'especially', 'to', 'those', 'who', 'work', 'in']"
tl_p124v_preTEI,écu,"['gold', 'is', 'more', 'appropriate', 'for', 'it', 'such', 'as', 'that', 'of']","['&', 'pistolet', 'If', 'Gold', 'f', 'is', 'not', 'put', 'back', 'on']"
tl_p124v_preTEI,pistolet,"['more', 'appropriate', 'for', 'it', 'such', 'as', 'that', 'of', 'écu', '&']","['If', 'Gold', 'f', 'is', 'not', 'put', 'back', 'on', 'the', 'fire']"
tl_p126v_preTEI,sous,"['in', 'gold', 'ven', 'buy', 'the', 'ounce', 'for', 'forty', 'or', 'fifty']",[]
tl_p128v_preTEI,real,"['the', 'alloy', 'from', 'the', 'capital', 'and', 'like', 'that', 'of', 'the']","['but', 'you', 'must', 'add', 'this', 'grain', 'in']"
tl_p128v_preTEI,teston,"['my', 'presence', 'cast', 'a', 'little', 'lizard', 'with', 'an', 'alloy', 'of']","['he', 'made', 'a', 'greyish', 'noi', 'crust', 'And', 'to', 'clean', 'it']"
tl_p149v_preTEI,old,"['They', 'take', 'for', 'one', 'g']","['denier', 'one', 'grain', 'of', 'the', 'fine', 'alloy', 'like', 'old', 'douzains']"
tl_p154r_preTEI,reals,"['Goldsmiths', 'do', 'not', 'work', 'at', 'all', 'with', 'the', 'silver', 'from']","['that', 'is', 'not', 'alloyed', 'because', 'it', 'is', 'leady', '&', 'when']"
tl_p154r_preTEI,old sou,"['things', 'which', 'only', 'go', 'in', 'the', 'fire', 'once', 'with', 'some']","['&', 'carolus', 'reheated', '&', 'beaten', 'However', 'if', 'the', 'sou', 'is']"
tl_p154r_preTEI,carolus,"['go', 'in', 'the', 'fire', 'once', 'with', 'some', 'old', 'sou', '&']","['reheated', '&', 'beaten', 'However', 'if', 'the', 'sou', 'is', 'not', 'very']"
tl_p154r_preTEI,sou,"['which', 'only', 'go', 'in', 'the', 'fire', 'once', 'with', 'some', 'old']","['&', 'carolus', 'reheated', '&', 'beaten', 'However', 'if', 'the', 'sou', 'is']"
tl_p156r_preTEI,billon,"['lizard', 'or', 'any', 'medal', 'you', 'like', 'in', 'base', 'silver', 'like']","['Next', 'gild', 'it', 'lightly', 'And', 'once', 'the', 'first', 'gilding', 'is']"
tl_p162r_preTEI,talentorum,"['to', 'the', 'temple', 'of', 'Delphi', 'pateras', 'aureas', 'sex', 'pondo', '30']",[]
tl_p164r_preTEI,reals,"['thus', 'it', 'is', 'good', 'to', 'melt', 'all', 'coined', 'silver', 'like']","['&', 'others', '&', 'to', 'put', 'it', 'in', 'ingots', 'before', 'melting']"
tl_p164r_preTEI,reals,"['of', 'silver', 'and', 'I', 'made', 'the', 'alloy', 'out', 'of', '4']","['of', '20', 'sous', 'from', 'Spain', '&', 'a', 'coin', 'of', 'xx']"
tl_p164r_preTEI,sous from,"['I', 'made', 'the', 'alloy', 'out', 'of', '4', 'reals', 'of', '20']","['Spain', '&', 'a', 'coin', 'of', 'xx', 'sous', 'from', 'France']"
tl_p164r_preTEI,sous from ,"['of', '20', 'sous', 'from', 'Spain', '&', 'a', 'coin', 'of', 'xx']",['France']
tl_p170v_preTEI,écus,"['of', 'thee', 'late', 'Sieur', 'Ouvryer', 'received', 'two', 'hundred', 'and', 'five']","['the', 'rent', 'of', 'Saint-Frajou', 'amounting', 'to', 'twelve', 'hundred', 'and', 'thirty']"
tl_p170v_preTEI,livres,"['the', 'rent', 'of', 'Saint-Frajou', 'amounting', 'to', 'twelve', 'hundred', 'and', 'thirty']",[]
tl_p170v_preTEI,écus,"['seventy', 'nine', 'two', 'three', 'hundred', 'forty', 'three', 'and', 'one', 'third']","['sur', 'qu']"
tl_p170v_preTEI,livres,"['And', 'for', 'the', 'first', 'year', 'eighty']","['and', 'fifteen']"
tl_p170v_preTEI,écu,"['Take', 'against', 'pestilential', 'fever', 'or', 'poison', 'or', 'plague', 'an']","['s', 'weight', 'of', 'your', 'opiate', 'soaked', 'in', 'scabious', 'or', 'bugloss']"
