folio,text in tag,before,after
tl_p005r_preTEI,half,"['So', 'take']","['rosette', 'copper', '&', 'half', 'soft', 'tin', 'that', 'is', 'to', 'say']"
tl_p005r_preTEI,half,"['So', 'take', 'half', 'rosette', 'copper', '&']","['soft', 'tin', 'that', 'is', 'to', 'say', 'fine', 'which', 'has', 'not']"
tl_p005r_preTEI,pace,"['be', 'at', 'a', 'slant;', 'next', 'look', 'at', 'it', 'from', 'one']","['away', 'But', 'if', 'you', 'look', 'at', 'it', 'close', 'up', 'it']"
tl_p005v_preTEI,at the end of a ,"['turn', 'the', 'concavity', 'toward', 'you', 'If', 'you', 'put', 'the', 'mirror']","['table', '&', 'a', 'candle', 'on', 'it', 'it', 'will', 'represent', 'two']"
tl_p005v_preTEI,middle of the ,"['a', 'sheet', 'of', 'paper', 'on', 'the', 'window', '&', 'let', 'the']","['sheet', 'be', 'over', 'the', 'hole', 'Pierce', 'the', 'sheet', 'in', 'the']"
tl_p005v_preTEI,half a lb,"['Take', 'looking-glass', 'tin', 'and', 'melt', 'it', 'On']","['of', 'this', 'put', 'half', 'an', 'ounce', 'of', 'quicksilver', 'and', 'remove']"
tl_p005v_preTEI,half an ounce,"['and', 'melt', 'it', 'On', 'half', 'a', 'lb', 'of', 'this', 'put']","['of', 'quicksilver', 'and', 'remove', 'it', 'all', 'at', 'once', 'from', 'the']"
tl_p006r_preTEI,half a ,"['little', 'willow', 'charcoal', 'or', 'as', 'much', 'as', 'the', 'tallow', '&']","['walnut', 'shell', 'full', 'of', 'half', '-burned', 'saffron', 'Some', 'put', 'in']"
tl_p006v_preTEI,size of a ,"['enough', 'the', 'one', 'who', 'works', 'seated', 'having', 'his', 'furnace', 'the']","['carnation', 'pot', 'before', 'him', 'breaks', 'it', 'off', '&', 'continues', 'This']"
tl_p007r_preTEI,days,"['only', 'fatty', 'oil', 'which', 'is', 'made', 'in', 'seven', 'or', 'eight']","['in', 'the', 'sun', 'with', 'walnut', 'oil', 'and', 'lead', 'white', '&']"
tl_p007r_preTEI,for one,"['and', 'soaks', 'it', 'in', 'in', 'eau-de-vie', 'of', 'vinegar', 'white', 'wine']","['night', 'then', 'one', 'melts', 'it', 'on', 'a', 'slow', 'fire', 'Others']"
tl_p007v_preTEI,dozen,"['Take', 'a']","['dried', 'common', 'walnuts', '&', 'throw', 'them', 'one', 'after', 'another', 'into']"
tl_p007v_preTEI,half,"['Next', 'let', 'the', 'wine', 'cool', 'and', 'strain', 'it', '&', 'pour']","['of', 'it', 'for', 'six', 'extinguished', 'walnuts', 'are', 'for', 'one', 'dose']"
tl_p007v_preTEI,dose,"['half', 'of', 'it', 'for', 'six', 'extinguished', 'walnuts', 'are', 'for', 'one']","['Excellent', 'cure', 'against', 'the', 'suffocation', 'of', 'the', 'matrix']"
tl_p007v_preTEI,half a lb,['Take'],"['of', 'finely', 'pulverized', 'golden', '&', 'yellow', 'marcasite', 'half', 'an', 'ounce']"
tl_p007v_preTEI,half an ounce,"['half', 'a', 'lb', 'of', 'finely', 'pulverized', 'golden', '&', 'yellow', 'marcasite']","['of', 'storax', '4', 'lb', 'of', 'urine', 'incorporate', 'everything', 'well', 'together']"
tl_p007v_preTEI,lb,"['Take', 'half', 'a']","['of', 'finely', 'pulverized', 'golden', '&', 'yellow', 'marcasite', 'half', 'an', 'ounce']"
tl_p007v_preTEI,lb,"['Aquæ', 'fabrorum', 'antiquæ']","['i', 'boli', 'Armeniæ', 'in', 'tel', 'tenuissimum', 'pollinem', 'redactæ', '℥', 'i']"
tl_p007v_preTEI,℥,"['antiquæ', 'lb', 'i', 'boli', 'Armeniæ', 'in', 'tel', 'tenuissimum', 'pollinem', 'redactæ']","['i', 'mellis', 'communis', 'ʒ', 'iii', 'coquantur', 'ad', 'mellis', 'despumationem', 'Tum']"
tl_p007v_preTEI,ʒ,"['Armeniæ', 'in', 'tel', 'tenuissimum', 'pollinem', 'redactæ', '℥', 'i', 'mellis', 'communis']","['iii', 'coquantur', 'ad', 'mellis', 'despumationem', 'Tum', 'refrigerata', 'colentur', 'cum', 'forti']"
tl_p008r_preTEI,six times as much,"['Put', 'among', 'the', 'powder']","['of', 'quicksilver', 'and', 'a', 'six', 'th', 'part', 'of', 'quicksilver']"
tl_p008r_preTEI,a sixth part,"['among', 'the', 'powder', 'six', 'times', 'as', 'much', 'of', 'quicksilver', 'and']","['of', 'quicksilver']"
tl_p008v_preTEI,half,"['Because', 'among', 'the', 'fine', 'tin', 'they', 'quite', 'often', 'mix', 'a']","['of', 'lead', 'which', 'renders', 'the', 'tin', 'deaf', 'to', 'correct', 'this']"
tl_p008v_preTEI,eighth part,"['can', '&', 'hollow', 'it', 'in', 'the', 'middle', 'Put', 'in', 'an']","['of', '☿', 'in', '&', 'into', 'this', 'while', 'adding', 'water', 'rub']"
tl_p010r_preTEI,lb,"['rust', '&', 'by', 'its', 'weight', 'able', 'to', 'flow;', 'taking', 'i']","['of', 'lead', 'melt', 'it', 'and', 'skim', 'and', 'purify', 'it', 'from']"
tl_p010r_preTEI,℥,"['purify', 'it', 'from', 'its', 'filth', 'then', 'pour', 'into', 'it', 'four']","['of', 'finely', 'pulverized', 'common', 'salt', 'and', 'take', 'good', 'care', 'that']"
tl_p010v_preTEI,hours,"['well-cooked', 'honey', '&', 'turpentine', 'of', 'strong', 'glue', 'soaked', 'for', '24']","['in', 'water', 'then', 'gently', 'brought', 'to', 'boil', 'so', 'that', 'it']"
tl_p015r_preTEI,month,"['run', 'better', 'When', 'the', 'sand', 'has', 'been', 'used', 'for', 'a']","['it', 'is', 'necessary', 'to', 'take', 'some', 'new', 'because', 'the', 'one']"
tl_p016r_preTEI,one & a half quintal,"['Each', 'pan', 'of', 'the', 'mouth', 'of', 'the', 'square', 'furnace', 'contains']","['&', 'the', 'pan', 'of', 'the', 'round', 'furnace', 'holds', 'two', 'quintal']"
tl_p016r_preTEI,quintals,"['quintal', '&', 'the', 'pan', 'of', 'the', 'round', 'furnace', 'holds', 'two']",[]
tl_p016r_preTEI,quintals,"['melted', 'substance', 'run', 'You', 'will', 'be', 'able', 'to', 'melt', 'two']","['of', 'iron', 'each', 'time', 'and', 'to', 'do', 'this', 'you', 'will']"
tl_p016r_preTEI,biggest,"['each', 'time', 'and', 'to', 'do', 'this', 'you', 'will', 'choose', 'the']","['charcoal', 'you', 'can', 'find', '&', 'put', 'a', 'load', 'of', 'it']"
tl_p016v_preTEI,lb,"['your', 'iron', 'not', 'all', 'at', 'once', 'but', 'ten', 'or', 'fifteen']","['each', 'time', 'And', 'when', 'this', 'will', 'be', 'swallowed', '&', 'at']"
tl_p016v_preTEI,shovels,"['put', 'in', 'as', 'much', 'again', 'And', 'add', 'three', 'or', 'four']","['of', 'new', 'charcoal', 'which', 'should', 'be', 'of', 'the', 'biggest', 'kind']"
tl_p016v_preTEI,quintals,"['see', 'that', 'your', 'furnace', 'is', 'full', 'of', 'substance', 'around', 'two']","['or', 'less', 'if', 'you', 'do', 'not', 'of', 'it', 'have', 'that']"
tl_p016v_preTEI,needle’s worth,"['Take', 'a']","['of', 'fine', 'silk', '&', 'pass', 'it', 'tightly', 'across', 'the', 'places']"
tl_p017r_preTEI,paces,"['The', 'cannon', 'fires', 'at', 'point-blank', 'from', 'five', 'to', 'six', 'hundred']","['But', 'not', 'for', 'battering', 'in', 'which', 'it', 'can', 'only', 'perform']"
tl_p017r_preTEI,paces,"['in', 'which', 'it', 'can', 'only', 'perform', 'well', 'from', 'two', 'hundred']","['or', 'three', 'hundred', 'paces', 'at', 'the', 'most', 'and', 'it', 'should']"
tl_p017r_preTEI,paces,"['only', 'perform', 'well', 'from', 'two', 'hundred', 'paces', 'or', 'three', 'hundred']","['at', 'the', 'most', 'and', 'it', 'should', 'not', 'be', 'any', 'farther']"
tl_p017r_preTEI,lb,"['should', 'not', 'be', 'any', 'farther', 'Its', 'ball', 'commonly', 'weighs', '40']","['of', 'the', 'King', 's', 'caliber', 'There', 'is', 'a', 'cannon-perrier', 'which']"
tl_p017r_preTEI,quintals,"['King', 's', 'caliber', 'There', 'is', 'a', 'cannon-perrier', 'which', 'weighs', 'xxv']","['which', 'are', 'small', 'short', 'cannons', 'It', 'is', 'for', 'fighting', 'the']"
tl_p017r_preTEI,lb,"['the', 'King', 's', 'caliber', 'like', 'the', 'others', 'namely', 'of', '40']","['It', 'bears', 'in', 'the', 'breech', 'only', 'the', 'width', 'of', 'two']"
tl_p017r_preTEI,width of two balls& a quarter of a ball,"['of', '40', 'lb', 'It', 'bears', 'in', 'the', 'breech', 'only', 'the']","['The', 'front', 'only', 'bears', 'the', 'width', 'of', 'one', 'ball', '&']"
tl_p017r_preTEI,width ofone ball & a third of a ball,"['a', 'quarter', 'of', 'a', 'ball', 'The', 'front', 'only', 'bears', 'the']","['Its', 'charge', 'is', 'similar', 'to', 'those', 'of', 'bigger', 'ones', 'namely']"
tl_p017r_preTEI,lb,"['charge', 'is', 'similar', 'to', 'those', 'of', 'bigger', 'ones', 'namely', 'xx']","['And', 'for', 'this', 'reason', 'when', 'one', 'wants', 'to', 'try', 'them']"
tl_p017r_preTEI,lb,"['can', 'do', 'is', 'to', 'give', 'it', 'a', 'charge', 'of', 'xx']","['of', 'fine', 'arquebus', 'powder', 'instead', 'of', 'ordinary', 'cannon', 'powder', 'And']"
tl_p017r_preTEI,paces,"['strength', 'of', 'the', 'cannon-perrier', 'for', 'making', 'a', 'battery', 'is', '4xx']",[]
tl_p017r_preTEI,paces,"['carries', 'a', 'range', 'of', 'only', 'a', 'thousand', 'or', 'xii', 'hundred']","['without', 'landing', '&', 'bouncing', 'it', 'commonly', 'bounces', 'iii', 'times']"
tl_p017r_preTEI,three parts of,"['The', 'good', 'alloy', 'for', 'pieces', 'is', 'of']","['rosette', '&', 'one', 'of', 'the', 'fine', 'metal', 'of', 'la', 'large']"
tl_p017v_preTEI,quintals,"['which', 'is', 'for', 'great', 'batteries', 'commonly', 'weighs', 'fifty-five', 'or', 'lx']","['At', 'the', 'breech', 'it', 'carries', 'the', 'thickness', 'of', 'b', 'two']"
tl_p017v_preTEI,thickness of,"['fifty-five', 'or', 'lx', 'quintals', 'At', 'the', 'breech', 'it', 'carries', 'the']","['b', 'two', 'balls', '&', 'one', 'l', 'of', 'the', 'three', 'parts']"
tl_p017v_preTEI,thickness of one ball &,"['of', 'one', 'ball', 'At', 'the', 'front', 'it', 'carries', 'ba', 'the']","['two', 'two', 'of', 'the', 'three', 'parts', 'It', 'is', 'thirteen', 'or']"
tl_p017v_preTEI,paces,"['&', 'batter', 'with', 'great', 'force', 'is', 'at', 'd', 'one-hundred', 'fifty']","['&', 'at', 'two', 'hundred', 'And', 'It', 'is', 'true', 'that', 'one']"
tl_p017v_preTEI,paces,"['true', 'that', 'one', 'batters', 'well', 'from', 'three', 'or', '4', 'hundred']","['but', 'it', 'is', 'necessary', 'to', 'give', 'it', 'more', 'powder', 'Its']"
tl_p017v_preTEI,lb,"['it', 'more', 'powder', 'Its', 'common', 'load', 'is', 'p', 'of', 'xx']","['of', 'powder', 'its', 'ball', 'of', '40', 'lb', 'One', 'needs', 'xxv']"
tl_p017v_preTEI,lb,"['p', 'of', 'xx', 'lb', 'of', 'powder', 'its', 'ball', 'of', '40']","['One', 'needs', 'xxv', 'horses', 'to', 'draw', 'it', 'When', 'one', 'fires']"
