word from the manuscript,index of the definition chosen, definition 0, definition 1,definition 2, 3,4,5,6,7,8,9
bird,0,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings,the flesh of a bird or fowl (wild or domestic) used as food (not in tree),informal terms for a (young) woman (not in tree),a cry or noise made to express displeasure or contempt (not in tree),badminton equipment consisting of a ball of cork or rubber with a crown of feathers (not in tree),,,,,
flea,0,any wingless bloodsucking parasitic insect noted for ability to leap,,,,,,,,,
crow,0,black birds having a raucous call,the cry of a cock (or an imitation of it) (not in tree),a member of the Siouan people formerly living in eastern Montana (not in tree),a small quadrilateral constellation in the southern hemisphere near Virgo (not in tree),an instance of boastful talk (not in tree),a Siouan language spoken by the Crow (not in tree),,,,
snail,0,freshwater or marine or terrestrial gastropod mollusk usually having an external enclosing spiral shell,edible terrestrial snail usually served in the shell with a sauce of melted butter and garlic (not in tree),,,,,,,,
crab,0,decapod having eyes on short stalks and a broad flattened carapace with a small abdomen folded under the thorax and pincers,a quarrelsome grouch (not in tree),(astrology) a person who is born while the sun is in Cancer (not in tree),the fourth sign of the zodiac; the sun is in this sign from about June 21 to July 22 (not in tree),the edible flesh of any of various crabs (not in tree),a louse that infests the pubic region of the human body,a stroke of the oar that either misses the water or digs too deeply (not in tree),,,
goldfinch,1,American finch whose male has yellow body plumage in summer,small European finch having a crimson face and yellow-and-black wings,,,,,,,,
pigeon,0,wild and domesticated birds having a heavy body and short legs,,,,,,,,,
cicada,0,stout-bodied insect with large membranous wings; male has drum-like organs for producing a high-pitched drone,,,,,,,,,
sheep,0,woolly usually horned ruminant mammal related to the goat,a timid defenseless simpleton who is readily preyed upon (not in tree),a docile and vulnerable person who would rather follow than make an independent decision (not in tree),,,,,,,
hart,2,United States playwright who collaborated with George S. Kaufman (1904-1961) (not in tree),United States lyricist who collaborated with Richard Rodgers (1895-1943) (not in tree),"a male deer, especially an adult male red deer",,,,,,,
hen,0,adult female chicken,adult female bird,flesh of an older chicken suitable for stewing (not in tree),female of certain aquatic animals e.g. octopus or lobster,,,,,,
nightingale,0,European songbird noted for its melodious nocturnal song,English nurse remembered for her work during the Crimean War (1820-1910) (not in tree),,,,,,,,
louse,0,wingless usually flattened bloodsucking insect parasitic on warm-blooded animals,a person who has a nasty or unethical character undeserving of respect (not in tree),any of several small insects especially aphids that feed by sucking the juices from plants,wingless insect with mouth parts adapted for biting; mostly parasitic on birds,,,,,,
grasshopper,0,terrestrial plant-eating insect with hind legs adapted for leaping,a cocktail made of creme de menthe and cream (sometimes with creme de cacao) (not in tree),,,,,,,,
ant,0,social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers,,,,,,,,,
hog,2,a person regarded as greedy and pig-like (not in tree),a sheep up to the age of one year; one yet to be sheared,domestic swine,,,,,,,
fly,0,two-winged insects characterized by active flight,flap consisting of a piece of canvas that can be drawn back to provide entrance to a tent (not in tree),an opening in a garment that is closed by a zipper or by buttons concealed under a fold of cloth (not in tree),(baseball) a hit that flies up in the air (not in tree),fisherman's lure consisting of a fishhook decorated to look like an insect (not in tree),,,,,
cat,0,feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats,an informal term for a youth or man (not in tree),a spiteful woman gossip (not in tree),the leaves of the shrub Catha edulis which are chewed like tobacco or used to make tea; has the effect of a euphoric stimulant (not in tree),a whip with nine knotted cords (not in tree),a large tracked vehicle that is propelled by two endless metal belts; frequently used for moving earth in construction and farm work (not in tree),any of several large cats typically able to roar and living in the wild,a method of examining body organs by scanning them with X rays and using a computer to construct a series of cross-sectional scans along a single axis (not in tree),,
bombicum,0,,,,,,,,,,
siskin,0,small yellow-and-black Eurasian finch with a sharp beak,,,,,,,,,
mule,0,hybrid offspring of a male donkey and a female horse; usually sterile,a slipper that has no fitting around the heel (not in tree),,,,,,,,
beef,0,cattle that are reared for their meat,meat from an adult domestic bovine (not in tree),informal terms for objecting (not in tree),,,,,,,
rat,0,any of various long-tailed rodents similar to but larger than a mouse,someone who works (or provides workers) during a strike (not in tree),a person who is deemed to be despicable or contemptible (not in tree),one who reveals confidential information in return for money (not in tree),a pad (usually made of hair) worn as part of a woman's coiffure (not in tree),,,,,
swine,0,stout-bodied short-legged omnivorous animals,,,,,,,,,
swan,0,stately heavy-bodied aquatic bird with very long neck and usually white plumage as adult,,,,,,,,,
ox,0,an adult castrated bull of the genus Bos; especially Bos taurus,any of various wild bovines especially of the genera Bos or closely related Bibos,,,,,,,,
colt,0,a young male horse under the age of four,a kind of revolver (not in tree),,,,,,,,
silkworm,0,the commercially bred hairless white caterpillar of the domestic silkworm moth which spins a cocoon that can be processed to yield silk fiber; the principal source of commercial silk,larva of a saturniid moth; spins a large amount of strong silk in constructing its cocoon,,,,,,,,
turtledove,1,small Australian dove,any of several Old World wild doves,,,,,,,,
shell,0,ammunition consisting of a cylindrical metal casing containing an explosive charge and a projectile; fired from a large gun (not in tree),the material that forms the hard outer covering of many animals (not in tree),hard outer covering or case of certain organisms such as arthropods and turtles (not in tree),the hard usually fibrous outer layer of some fruits especially nuts (not in tree),the exterior covering of a bird's egg (not in tree),a rigid covering that envelops an object (not in tree),a very light narrow racing boat (not in tree),the housing or outer covering of something (not in tree),a metal sheathing of uniform thickness (such as the shield attached to an artillery piece to protect the gunners) (not in tree),the hard largely calcareous covering of a mollusc or a brachiopod (not in tree)
bittern,0,relatively small compact tawny-brown heron with nocturnal habits and a booming cry; found in marshes,,,,,,,,,
swallow,2,a small amount of liquid food (not in tree),the act of swallowing (not in tree),small long-winged songbird noted for swift graceful flight and the regularity of its migrations,,,,,,,
chick,0,young bird especially of domestic fowl,informal terms for a (young) woman (not in tree),,,,,,,,
porcupine,0,relatively large rodents with sharp erectile bristles mingled with the fur,,,,,,,,,
oyster,0,marine mollusks having a rough irregular shell; found on the sea bed mostly in coastal waters,edible body of any of numerous oysters (not in tree),a small muscle on each side of the back of a fowl (not in tree),,,,,,,
dogfish,0,primitive long-bodied carnivorous freshwater fish with a very long dorsal fin; found in sluggish waters of North America,any of several small sharks,,,,,,,,
mussel,1,black marine bivalves usually steamed in wine (not in tree),marine or freshwater bivalve mollusk that lives attached to rocks etc.,,,,,,,,
ortolan,0,brownish Old World bunting often eaten as a delicacy,,,,,,,,,
