word,chosen index,def 0 ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
tongue,0,a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity,a human written or spoken language used by a community; opposed to e.g. a computer language,any long thin projection that is transient,a manner of speaking,a narrow strip of land that juts out into the sea,the tongue of certain animals used as meat,the flap of material under the laces of a shoe or boot,metal striker that hangs inside a bell and makes a sound by hitting the side,,,,,,,,,,,,,,,,,,,,,,,,,
underfoot,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nipple,0,the small projection of a mammary gland,a flexible cap on a baby's feeding bottle or pacifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foot,0,the part of the leg of a human being below the ankle joint,a linear unit of length equal to 12 inches or a third of a yard,the lower part of anything,the pedal extremity of vertebrates other than human beings,lowest support of a structure,any of various organs of locomotion or attachment in invertebrates,travel by walking,a member of a surveillance team who works on foot or rides as a passenger,an army unit consisting of soldiers who fight on foot,(prosody) a group of 2 or 3 syllables forming the basic unit of poetic rhythm,a support resembling a pedal extremity,,,,,,,,,,,,,,,,,,,,,,
knee,0,hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella,joint between the femur and tibia in a quadruped; corresponds to the human knee,the part of a trouser leg that provides the cloth covering for the knee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palm,0,the inner surface of the hand from the wrist to the base of the fingers,a linear unit based on the length or width of the human hand,any plant of the family Palmae having an unbranched trunk crowned by large pinnate or palmate leaves,an award for winning a championship or commemorating some other event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
head,0,the upper part of the human body or the front part of the body in animals; contains the face and brains,a single domestic animal,that which is responsible for one's thoughts and feelings; the seat of the faculty of reason,a person who is in charge,the front of a military formation or procession,the pressure exerted by a fluid,the top of something,the source of water from which a stream arises,(grammar) the word in a grammatical constituent that plays the same grammatical role as the whole constituent,the tip of an abscess (where the pus accumulates),the length or height based on the size of a human or animal head,a dense cluster of flowers or foliage,the educator who has executive authority for a school,an individual person,a user of (usually soft) drugs,a natural elevation (especially a rocky one that juts out into the sea),a rounded compact mass,the foam or froth that accumulates at the top when you pour an effervescent liquid into a container,the part in the front or nearest the viewer,a difficult juncture,forward movement,a V-shaped mark at one end of an arrow pointer,the subject matter at issue,a line of text serving to indicate what the passage below it is about,the rounded end of a bone that fits into a rounded cavity in another bone to form a joint,that part of a skeletal muscle that is away from the bone that it moves,(computer science) a tiny electromagnetic coil and metal pole used to write and read magnetic patterns on a disk,(usually plural) the obverse side of a coin that usually bears the representation of a person's head,the striking part of a tool,(nautical) a toilet on board a boat or ship,"a projection out from one end; ,",a membrane that is stretched taut over a drum,oral stimulation of the genitals
blood,0,"the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets",temperament or disposition,a dissolute man in fashionable society,the descendants of one individual,people viewed as members of a group,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leg,0,a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle,a structure in animals that is similar to a human leg and used for locomotion,one of the supports for a piece of furniture,a part of a forked or branching shape,the limb of an animal used for food,a prosthesis that replaces a missing leg,a cloth covering consisting of the part of a pair of trousers that covers a person's leg,(nautical) the distance traveled by a sailing vessel on a single tack,a section or portion of a journey or course,,,,,,,,,,,,,,,,,,,,,,,,
two,0,the cardinal number that is the sum of one and one or a numeral representing this number,one of the four playing cards in a deck that have two spots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belly,0,the region of the body of a vertebrate between the thorax and the pelvis,a protruding abdomen,a part that bulges deeply,the hollow inside of something,the underpart of the body of certain vertebrates such as snakes or fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hair,0,a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss,a very small distance or space,filamentous hairlike growth on a plant,any of the cylindrical filaments characteristically growing from the epidermis of a mammal,cloth woven from horsehair or camelhair; used for upholstery or stiffening in garments,a filamentous projection or process on an organism,,,,,,,,,,,,,,,,,,,,,,,,,,,
earwax,0,a soft yellow wax secreted by glands in the ear canal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manu,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neck,0,the part of an organism (human or animal) that connects the head to the rest of the body,a narrow elongated projecting strip of land,a cut of meat from the neck of an animal,a narrow part of an artifact that resembles a neck in position or form,an opening in a garment for the neck of the wearer; a part of the garment near the wearer's neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,
temple,1,place of worship consisting of an edifice for the worship of a deity,the flat area on either side of the forehead,an edifice devoted to special or exalted purposes,(Judaism) the place of worship for a Jewish congregation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ear,0,the sense organ for hearing and equilibrium,good hearing,the externally visible cartilaginous structure of the external ear,attention to what is said,fruiting spike of a cereal plant especially corn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
