word,chosen index,def 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
hook,0,a catch for locking a door,a sharp curve or crook; a shape resembling a hook,anything that serves as an enticement,a mechanical device that is curved or bent to suspend or hold or pull something,a curved or bent implement for suspending or pulling something,a golf shot that curves to the left for a right-handed golfer,a short swinging punch delivered from the side with the elbow bent,a basketball shot made over the head with the hand that is farther from the basket,,,,,,,,,,,,,,,,,,
horn,0,a noisemaker (as at parties or games) that makes a loud noise when you blow through it,one of the bony outgrowths on the heads of certain ungulates,a noise made by the driver of an automobile to give warning,a high pommel of a Western saddle (usually metal covered with leather),a brass musical instrument with a brilliant tone; has a narrow tube and a flared bell and is played by means of valves,any hard protuberance from the head of an organism that is similar to or suggestive of a horn,the material (mostly keratin) that covers the horns of ungulates and forms hooves and claws and nails,a device having the shape of a horn,an alarm device that makes a loud warning sound,a brass musical instrument consisting of a conical tube that is coiled into a spiral and played by means of valves,a device on an automobile for making a warning noise,,,,,,,,,,,,,,,
crayon,0,writing implement consisting of a colored stick of composition wax used for writing and drawing,,,,,,,,,,,,,,,,,,,,,,,,,
luted,0,,,,,,,,,,,,,,,,,,,,,,,,,,
burnished,0,,,,,,,,,,,,,,,,,,,,,,,,,,
bullitoire,0,,,,,,,,,,,,,,,,,,,,,,,,,,
knife,0,edge tool used as a cutting instrument; has a pointed blade with a sharp edge and a handle,a weapon with a handle and blade with a sharp point,any long thin projection that is transient,,,,,,,,,,,,,,,,,,,,,,,
oven,0,kitchen appliance used for baking or roasting,,,,,,,,,,,,,,,,,,,,,,,,,
vase,0,an open jar of glass or porcelain used as an ornament or to hold flowers,,,,,,,,,,,,,,,,,,,,,,,,,
log,0,a segment of the trunk of a tree when stripped of branches,the exponent required to produce a given number,a written record of messages sent or received,a written record of events on a voyage (of a ship or plane),measuring instrument that consists of a float that trails from a ship by a knotted line in order to measure the ship's speed through the water,,,,,,,,,,,,,,,,,,,,,
stake,0,(law) a right or legal share of something; a financial involvement with something,a pole or stake set up to mark something (as the start or end of a race track),instrument of execution consisting of a vertical post that a victim is tied to for burning,the money risked on a gamble,a strong wooden or metal post with a point at one end so it can be driven into the ground,,,,,,,,,,,,,,,,,,,,,
chameau,0,,,,,,,,,,,,,,,,,,,,,,,,,,
bowl,0,a round vessel that is open at the top; used chiefly for holding food or liquids,a concave shape with an open top,a dish that is round and open at the top for serving foods,the quantity contained in a bowl,a large structure for open-air sports or entertainments,a large ball with finger holes used in the sport of bowling,a wooden ball (with flattened sides so that it rolls on a curved course) used in the game of lawn bowling,a small round container that is open at the top for holding tobacco,the act of rolling something (as the ball in bowling),,,,,,,,,,,,,,,,,
moulet,0,,,,,,,,,,,,,,,,,,,,,,,,,,
brazier,0,large metal container in which coal or charcoal is burned; warms people who must stay outside for long times,,,,,,,,,,,,,,,,,,,,,,,,,
