prefLabel_en,verbatim_term,identity,title
founder,founders of artillery &amp; bells,p142v_3,Lute for luting your molds
founder,founders of large castings,p157r_4,Arranging plants or flowers for casting
miner,miners,p016r_1,Founding of soft iron
miner,miners,p028v_1,Pewterers
worker,workers,p016r_1,Founding of soft iron
worker,workers,p050v_2,Curried steel and files
worker,workers,p097v_2,Working on glass
worker,workers,p125r_2,Scimitars
worker,worker,p016v_3,Silk
worker,worker,p036v_3,Glassworkers’ glass
worker,worker,p052r_1,The work done in Algiers
worker,iron workers,p050v_2,Curried steel and files
worker,worker who made the wood piece,p094r_1,Furbisher
person,people,p016r_1,Founding of soft iron
person,common people,p094r_1,Furbisher
person,common people,p100v_1,Gemstones
alchemist,alchemists,p016r_1,Founding of soft iron
gunner,gunner,p017r_1,On the gunner
gunner,gunner,p021r_1,Gunner
gunner,gunner,p021r_2,For firing a cannon at night
gunner,gunner,p021v_1,For unspiking a cannon
gunner,gunner,p024v_1,For bringing a cannon over land
gunner,gunner,p024v_3,A steel touch-hole
gunner,gunners,p024v_1,For bringing a cannon over land
cavalry,cavalry,p017r_1,On the gunner
infantry,infantry,p017r_1,On the gunner
glassmaker,glassmakers,p020r_2,Glassworker
glassmaker,glassmakers,p047v_2,Founding
glassmaker,glassmakers,p089v_2,Glassmakers’ white sand from the mine, mixed with sal ammoniac
glassmaker,glassmakers,p098v_5,Founding
glassmaker,glassmakers,p100v_1,Gemstones
glassmaker,glassmakers,p120v_6,Keeping dry flowers in the same state all year
glassworker,glassworker,p020r_2,Glassworker
glassworker,glassworker,p032v_2,Glassworker
glassworker,glassworker,p037v_2,Glassworker
glassworker,glassworkers,p020r_2,Glassworker
glassworker,glassworkers,p036v_3,Glassworkers’ glass
glassworker,glassworkers,p039v_3,Tracing some history on glass
glassworker,glassworkers,p049r_1,Casting of lead
pioneer,pioneers,p024v_1,For bringing a cannon over land
apothecary,apothecaries,p029v_5,Extraction of oils
apothecary,apothecaries,p085v_2,Mortars
apothecary,apothecaries,p085v_4,Experimented sands
apothecary,apothecaries,p100v_1,Gemstones
apothecary,apothecaries,p107r_1,Catching lizards and snakes
apothecary,apothecary,p074v_2,For making yellow varnish
rich,rich,p030r_2,Pewterer
rich,rich,p071v_3,Spider
scribe,scribes,p031v_1,Painter
scribe,scribes,p032r_3,For layering gold in distemper
scribe,scribe,p046v_1,Scribe, Oil of sulfur
villager,villagers,p032v_1,Mat maker
coppersmith,coppersmith,p032v_3,Founder
coppersmith,coppersmiths,p044r_2,Pewterer
conjuror,conjuror,p033r_1,Knife for cutting the nose or a finger
conjuror,conjuror,p035v_2,For transmuting grain from one vessel to another
spectator,spectators,p033r_1,Knife for cutting the nose or a finger
bystander,bystander,p033v_1,For making it seem that to someone that he has a piece of silver on his forehead
bystander,bystanders,p033v_2,For making blood or wine issue from someone’s forehead or from a wall
fellow,fellow,p033v_2,For making blood or wine issue from someone’s forehead or from a wall
servant,servant,p034r_3,For making a candlestick hold to the wall without making a hole in it
messenger,messenger,p034r_5,Writing cunningly
founablesder,founablesders,p036v_1,Founder
gardener,gardener,p037v_1,Gardener
gardener,gardeners,p039r_2,Pastel woad
dyer,dyers,p039r_2,Pastel woad
monk,monk,p040r_1,Dye
vintager,vintagers,p040r_3,Vinegar
potter,potter,p041r_1,Earth for casting, for founders
potter,potter,p141r_1,Molding a crayfish
potter,potters,p081r_2,Earth for molding
potter,potters,p089v_2,Glassmakers’ white sand from the mine, mixed with sal ammoniac
potter,potters,p090v_1,Terre fondue of potters
potter,potters,p119v_1,Fashion of preparing a spalt spat
shearer,shearer,p041v_2,Sheared ewes
pintori,pintori,p043r_3,Purpurine
arquebusier,arquebusier,p043v_3,Arquebusier
writer,writer,p046v_1,Scribe, Oil of sulfur
shoemaker,shoemaker,p046v_2,Shoemaker
shoemaker,shoemakers,p054v_3,Dogs
farrier,farriers,p050v_2,Curried steel and files
farrier,farriers,p092v_2,Congealing mercury
farrier,farriers,p094r_1,Furbisher
printer,printers,p051r_2,Cutters of printing plates
