prefLabel_en,verbatim_term,identity,title
italian,italians,p056v_1,Painter
italian,italians,p059r_1,Shadows
italian,italians,p097v_1,Mastic varnish dry in a half hour
italian,italians,p109r_1,Modeling in wax
cambray,cambray,p057v_2,Painter
turkey,turkey,p058v_5,Paintbrushes
acre,acre,p058v_5,Paintbrushes
acre,acre,p102v_1,Painting on crystal or glass
champagne,champagne,p068r_3,Casting
champagne,champagne,p108r_2,Spalt
bolvene,bolvenes,p069r_2,Sand
irish,irish,p071r_5,Eau-de-vie
ireland,ireland,p071v_3,Spider
carcassonne,carcassonne,p071v_4,Sand
partenay,partenay,p073v_1,For c coating it
oriental,orientals,p077r_2, Medicine of the orientals against all maladies
thoulouse,thoulouse,p081r_1,Sand
thoulouse,thoulouse,p084r_5,Sand from a mine in Thoulouse
thoulouse,thoulouse,p085v_4,Experimented sands
thoulouse,thoulouse,p087r_1,Sand from Thoulouse
thoulouse,thoulouse,p087v_3,Sand of the mine of Thoulouse
fosseret,fosseret,p081r_2,Earth for molding
ox,ox,p081r_2,Earth for molding
blagnac,blagnac,p087r_1,Sand from Thoulouse
touch,touch,p087r_1,Sand from Thoulouse
cominge,cominge,p089v_2,Glassmakers’ white sand from the mine, mixed with sal ammoniac
aurignac,aurignac,p089v_2,Glassmakers’ white sand from the mine, mixed with sal ammoniac
venise,venise,p090r_3,All sands can be rendered good
italy,italy,p090v_2,Orange trees
lombardy,lombardy,p090v_2,Orange trees
vienne,vienne,p094r_1,Furbisher
dauphiné,dauphiné,p094r_1,Furbisher
spanish,spanish,p094r_1,Furbisher
dutch,dutch,p102r_4,Glass vessels
rouan,rouan,p107r_1,Catching lizards and snakes
augsburg,augsburg,p107r_1,Catching lizards and snakes
capital,capital,p121v_2,Silver for casting
capital,capital,p128r_1,Casting in silver and gold
hungary,hungary,p125r_2,Scimitars
turk,turks,p125r_2,Scimitars
damascu,damascus,p125r_2,Scimitars
garrigue,garrigue,p143r_1,Molding turtles
garrigue,garrigue,p144r_1,Turtles
garrigue,garrigue,p146v_1,Molding turtles
rhine,rhine,p149r_2,Base gold from Germany, electrum
syracuse,syracuse,p152r_1,Molding a rat
phoenician,phoenicians,p162r_1,For the workshop
egypt,egypt,p162r_1,For the workshop
portuguese,portuguese,p162r_1,For the workshop
portuguese,portuguese,p163r_1,Perfumer
argo,argos,p162r_1,For the workshop
assyrium,assyria,p162r_1,For the workshop
levant,levant,p163v_2,Crocum
tyana,tyana,p166r_1,For the workshop
greek,greek,p166r_1,For the workshop
greek,greeks,p166r_1,For the workshop
latin,latins,p166r_1,For the workshop
eleusi,eleusis,p166r_1,For the workshop
egyptian,egyptians,p166r_1,For the workshop
sicilian,sicilians,p166r_1,For the workshop
hebrew,hebrews,p166r_1,For the workshop
burgundy,burgundy,p166v_3,Scented candle from Le Mans
istre,istre,p169v_1,Molding very thin like bimbalotiers do
saint-frajou,saint-frajou,p170v_1,1578-9 original first page
mechliniensi,mechliniensis,p170v_4,List of books
rue de la heaumerie, at the sign of st claude,rue de la heaumerie, at the sign of st claude,p001r_1,List of names
st jacques de la boucherie,st jacques de la boucherie,p001r_1,List of names
rue des escrivain,rue des escrivains,p001r_1,List of names
faubourg saint-germain,faubourg saint-germain,p001r_1,List of names
urb. rom.,urb. rom.,p001r_3,List of books
saint antonin,saint antonin,p001v_1,For easing the belly
la rochelle,la rochelle,p017r_1,On the gunner
bonnes ville,bonnes villes,p028v_1,Pewterers
bonnes ville,bonnes villes,p090r_3,All sands can be rendered good
saint deni,saint denis,p038r_1,Sapphire
puy david,puy david,p081r_1,Sand
puy david,puy david,p084r_5,Sand from a mine in Thoulouse
puy david,puy david,p087r_1,Sand from Thoulouse
sainct michel,sainct michel,p087r_1,Sand from Thoulouse
parys near the sainct chappelle,parys near the sainct chappelle,p090r_3,All sands can be rendered good
coast of greece,coast of greece,p162r_1,For the workshop
red sea,red sea,p162r_1,For the workshop
le man,le mans,p166v_3,Scented candle from Le Mans
