prefLabel_en,verbatim_term,identity,title
do not apply it any longer than this, for it would cause a your flesh to grow excessively,do not apply it any longer than this, for it would cause a your flesh to grow excessively,p103r_1,Against burns, excellent
leaves no scar,leaves no scar,p103r_1,Against burns, excellent
against dogs’ mange,against dogs’ mange,p103r_2,Against dogs’ mange
against dogs’ mange,against dogs’ mange,p104v_1,Against dogs’ mange
protruding or swollen hemorrhoidal vein,protruding or swollen hemorrhoidal veins,p103v_1,Enema
infected part,infected part,p110r_3,Snakes
fumes, which are dangerous, could hurt you,fumes, which are dangerous, could hurt you,p123r_1, A means di far correr lotnegra
fumes of it are dangerou,fumes of it are dangerous,p123r_1, A means di far correr lotnegra
keep away from the fumes, for they are perniciou,keep away from the fumes, for they are pernicious,p136v_1,For casting in latten
cut on your hand, take care that this mixture does not touch it,cut on your hand, take care that this mixture does not touch it,p165v_2,Keeping animals
against pestilential fever,against pestilential fever,p170v_2,Against plague
against plague,against plague,p170v_2,Against plague
removing its infection,removing its infection,p170v_3,For preserving
for preserving,for preserving,p170v_3,For preserving
to preserve oneself when one goes into infected air,to preserve oneself when one goes into infected air,p170v_3,For preserving
