folio,text in tag,before,after
tc_p044r_preTEI,den,"['est', 'de', '4', 'pieds', 'de', 'roy', 'de', 'long', '&', 'xviii']","['iers', 'de', 'balle', 'La', 'chasse', 'vi', 'den', 'iers', 'de', 'pouldre']"
tc_p044r_preTEI,deniers,"['moyene', 'qui', 'est', 'lordinayre', '&', 'la', 'plus', 'aysee', 'porte', 'xv']","['de', 'balle', 'v', 'deniers', 'de', 'pouldre', '&', 'lx', 'pas', 'de']"
tc_p044v_preTEI,s,['Il'],"['s', 'e', 'font', 'a', 'cou', 's', 'tance', 'en', 'normandie', 'de']"
tc_p053v_preTEI,s,['Il'],"['s', 'e', 'produi', 's', 'ent', 'de', 'grene', 'ce', 's', 't']"
tc_p058v_preTEI,sols,"['palma', 'christi', 'Lhuile', 'de', 'noix', 'en', 'flandres', 'coste', 'bien', 'cent']","['la', 'pinte', 'Lazur', 'demande', 'un', 'peu', 'lhuile', 'gras', 'pource', 'quil']"
tc_p085v_preTEI,sols,"['laultre', 'de', 'cave', '&', 'de', 'lespesseur', 'dune', 'piece', 'de', 'quarante']","['Jay', 'gecte', 'treschault']"
tc_p094r_preTEI,s,['Il'],"['e', 'faict', 'de', 's', 'poignee', 's', 'de', 's', 'oye', 'de']"
tc_p094v_preTEI,s,['Le'],"['poignee', 's', 'dor', 's', 'e', 'font', 'y', 'mectant', 'de', 's']"
tc_p095r_preTEI,lb,"['Les', 'lames', 'de', 'vienne', 'costent', 'communement', 'xviii', 'ou', '19']","['la', 'douzaine']"
tc_p095r_preTEI,liart,"['ou', 'faict', 'faire', 'aulx', 'serruriers', 'ou', 'mareschaulx', 'luy', 'donnant', 'quelque']","['pour', 'son', 'charbon', 'Apres', 'ilz', 'la', 'passent', 'par', 'la', 'meule']"
tc_p095v_preTEI,sols,"['Le', 'bout', 'sachepte', 'tout', 'faict', 'a', 'douzaine', 'qui', 'couste', 'six']","['des', 'petits', 'Mays', 'des', 'grands', 'ii', 'carolus', 'Le', 'bout', 'ce']"
tc_p095v_preTEI,carolus,"['qui', 'couste', 'six', 'sols', 'des', 'petits', 'Mays', 'des', 'grands', 'ii']","['Le', 'bout', 'ce', 'se', 'mect', 'ou', 'avecq', 'des', 'cloux', 'qui']"
tc_p095v_preTEI,lb,"['achaptent', 'a', 'douzaines', 'la', 'douzaine', 'des', 'pleines', 'coste', 'communem', 'x']","['La', 'piece', 'douvraige', '30', 'sols', 'ou', 'selon', 'sa', 'facon']"
tc_p095v_preTEI,s,['Le'],"['forbi', 's', 's', 'eur', 's', 'le', 's', 'achaptent', 'a', 'douzaine']"
tc_p095v_preTEI,s,['Il'],"['acheptent', 'le', 's', 'boy', 's', 'de', 's', 'fourreaulx', 'qui', 's']"
tc_p096r_preTEI,s,"['Le', 'fourreau']","['e', 'faict', 'de', 'cuir', 'de', 'veau', 'ou', 'de', 'mouton', 'tout']"
tc_p096r_preTEI,s,"['cuir', 'de', 'veau', 'ou', 'de', 'mouton', 'tout', 'dune', 'piece', 'celle']","['de', 'veau', 'May', 's', 'celle', 's', 'de', 'mouton', 'nenny', 'ain']"
tc_p097r_preTEI,s,"['On', 'apre']","['te', 'fort', 'le', 's', 'garde', 's', 'avecq', 'la', 'lime', 'doulce']"
tc_p103v_preTEI,teston,"['subtil', 'duquel', 'on', 'couvre', 'premierement', 'la', 'medaille', 'de', 'lespesseur', 'dun']",[]
tc_p104r_preTEI,liard,"['Puys', 'pour', 'le', 'graver', '&', 'faire', 'leau', 'prens', 'pour', 'un']","['de', 'verdet', '&', 'mects', 'deulx', 'fois', 'aultant', 'de', 'gros', 'sel']"
tc_p121v_preTEI,teston,"['animal', 'lun', 'contre', 'laultre', 'ou', 'reparer', 'Cest', 'communement', 'argent', 'de']","['Et', 'tout', 'argent', 'allie', 'pourveu', 'quil', 'soict', 'douls', 'est', 'bon']"
tc_p121v_preTEI,sols,"['faire', 'courre', 'leurs', 'ouvrages', 'ilz', 'lachepteroient', 'beaucoup', 'Aulcuns', 'lacheptent', 'cinq']","['le', 'denier']"
tc_p123r_preTEI,sols,"['cognoi', 'ssance', 'de', 'ceste', 'matiere', 'vendent', 'le', 'denier', 'dicelle', 'cinq']","['aulx', 'aultres', 'orfevres', '&', 'mesmement', 'a', 'ceulx', 'qui', 'travaillent', 'de']"
tc_p124v_preTEI,escu,"['Mays', 'lor', 'allie', 'luy', 'est', 'plus', 'propre', 'Comme', 'celuy', 'd']","['&', 'pistolet', 'Si', 'Lor', 'f', 'nest', 'remys', 'au', 'foeu', 'en']"
tc_p124v_preTEI,pistolet,"['lor', 'allie', 'luy', 'est', 'plus', 'propre', 'Comme', 'celuy', 'descu', '&']","['Si', 'Lor', 'f', 'nest', 'remys', 'au', 'foeu', 'en', 'sa', 'seule']"
tc_p126v_preTEI,sols,"['pour', 'gecter', 'en', 'or', 'ven', 'achaptent', 'lonce', 'quarante', 'ou', 'cinquante']",[]
tc_p128v_preTEI,realle,"['plus', 'fin', 'que', 'la', 'ligue', 'du', 'capital', 'et', 'comme', 'de']","['Mays', 'que', 'tu', 'y', 'adjoustes', 'de', 'ce', 'grain']"
tc_p128v_preTEI,teston,"['en', 'ma', 'presence', 'gecte', 'un', 'petit', 'lesard', 'de', 'ligue', 'de']","['Il', 'fist', 'une', 'croste', 'noi', 'grisastre', 'Et', 'pour', 'len', 'nettoyer']"
tc_p149v_preTEI,denier d,"['Il', 'prenent', 'sur', 'un']","['or', 'un', 'grain', 'd', 'aloe', 'fin', 'comme', 'sont', 'les', 'vieulx']"
tc_p149v_preTEI,vieulx douzains,"['un', 'denier', 'dor', 'un', 'grain', 'daloe', 'fin', 'comme', 'sont', 'les']",[]
tc_p154r_preTEI,real,"['Les', 'orfevres', 'ne', 'travaillent', 'point', 'dargent', 'de']","['qui', 'ne', 'soict', 'allie', 'pource', 'quil', 'est', 'plombeus', '&', 'en']"
tc_p154r_preTEI,vieulx sol,"['choses', 'qui', 'ne', 'vont', 'quune', 'fois', 'au', 'foeu', 'avecq', 'quelque']","['&', 'carolus', 'recuit', '&', 'battu', 'Touteffois', 'si', 'le', 'sol', 'nest']"
tc_p154r_preTEI,carolus,"['vont', 'quune', 'fois', 'au', 'foeu', 'avecq', 'quelque', 'vieulx', 'sol', '&']","['recuit', '&', 'battu', 'Touteffois', 'si', 'le', 'sol', 'nest', 'bien', 'bon']"
tc_p154r_preTEI,sol,"['qui', 'ne', 'vont', 'quune', 'fois', 'au', 'foeu', 'avecq', 'quelque', 'vieulx']","['&', 'carolus', 'recuit', '&', 'battu', 'Touteffois', 'si', 'le', 'sol', 'nest']"
tc_p156r_preTEI,billon,"['ou', 'telle', 'medaille', 'quil', 'te', 'plaira', 'dargent', 'bas', 'comme', 'de']","['Apres', 'dore', 'la', 'legerement', 'Et', 'comme', 'la', 'premiere', 'doreure', 'sera']"
tc_p162r_preTEI,talentorum,"['presenta', 'au', 'temple', 'de', 'delphe', 'pateras', 'aureas', 'sex', 'pondo', '30']",[]
tc_p164r_preTEI,realles,"['il', 'est', 'bon', 'de', 'fondre', 'tout', 'argent', 'monnoye', 'comme', 'de']","['&', 'aultres', '&', 'le', 'mectre', 'en', 'lingot', 'plustost', 'que', 'le']"
tc_p164r_preTEI,realles,"['une', 'petite', 'vipere', 'dargent', 'Et', 'fis', 'la', 'ligue', 'de', '4']","['de', '20', 'sols', 'despaigne', '&', 'une', 'piece', 'de', 'xx', 'sols']"
tc_p164r_preTEI,s,['Il'],"['e', 'dechet', 'beaucoup', 'a', 'cau', 's', 'e', 'que', 'le', 'plomb']"
tc_p164r_preTEI,s,"['Il', 's', 'e', 'dechet', 'beaucoup', 'a', 'cau']","['e', 'que', 'le', 'plomb', 'qui', 'y', 'e', 's', 't', 'me']"
tc_p170v_preTEI,escu,"['Transport', 'aulx', 'heritiers', 'deu', 'feu', 'sieur', 'ouvryer', 'deux', 'cens', 'cinq']","['s', 'du', 'Rentement', 'de', 'Sainct', 'frajou', 'montant', 'douze', 'cens', 'trente']"
tc_p170v_preTEI,livres,"['escus', 'du', 'Rentement', 'de', 'Sainct', 'frajou', 'montant', 'douze', 'cens', 'trente']",[]
tc_p170v_preTEI,escus,"['cinq', 'cens', 'septante', 'neuf', 'de', 'deux', 'trois', 'cens', 'quarante', 'trois']","['un', 'tiers', 'sur', 'qu']"
tc_p170v_preTEI,livres,"['Et', 'leur', 'reste', 'sur', 'la', 'premiere', 'annee', 'quatre', 'vintg']","['quinze', 'Et', 'sur', 'la', 'seconde', 'Judication', 'nont', 'encore', 'rien', 'Repceu']"
tc_p170v_preTEI,escues,"['contre', 'fiebvre', 'pestilentiale', 'ou', 'poison', 'ou', 'peste', 'le', 'poix', 'dun']","['de', 'ton', 'opiate', 'destrempe', 'avecq', 'eau', 'de', 'scabieuse', 'ou', 'buglose']"
