folio,text in tag,before,after
tc_p009v_preTEI,feste de la ,"['a', 'faict', 'Cedulle', 'le', 'dict', 'Jour', 'a', 'payer', 'a', 'la']","['sainct', 'andre', 'prochainne', 'parce', 'dis', '___', '8', 'lb', 'c']"
tc_p011v_preTEI,nuict,"['cher', 'de', 'mouton', 'cru', '&', 'avecq', 'un', 'bandeau', 'aplique', 'la']","['sur', 'les', 'yeulx']"
tc_p011v_preTEI,long temps,"['de', 'la', 'chair', 'en', 'tournant', 'ta', 'roue', 'Sil', 'y', 'a']","['que', 'tu', 'ny', 'as', 'travaille']"
tc_p012r_preTEI,jours,"['Il', 'fault', 'que', 'louvraige', 'soict', 'sec', 'de', '4', 'ou', '5']","['plustost', 'que', 'le', 'recuire', 'Quand', 'tu', 'moules', '&', 'fais', 'cave']"
tc_p013v_preTEI,nuict,"['sur', 'un', 'brasier', 'en', 'la', 'chambre', 'de', 'quelques', 'uns', 'de']","['quilz', 'ne', 'pourront', 'se', 'mouvoir', 'ne', 'parler', 'ne', 'donner', 'empeschement']"
tc_p015v_preTEI,heures,"['que', 'la', 'dent', 'faict', 'mal', '&', 'en', 'deux', 'ou', 'trois']","['il', 'sen', 'trouvent', 'bien', 'Aultres', 'mectent', 'dans', 'la', 'narine', 'qui']"
tc_p016v_preTEI,mois,"['vaisseau', 'destaing', 'et', 'bien', 'clos', '&', 'elles', 'se', 'garderont', 'six']",[]
tc_p017r_preTEI,long temps,"['brusle', 'toute', 'devant', 'que', 'sortir', '&', 'la', 'Limpetuosite', 'est', 'plus']","['tenue', 'contraincte', 'en', 'une', 'petite', 'long', 'ue', 'piece', 'quen', 'une']"
tc_p017v_preTEI,jour,"['de', 'pouldre', 'de', 'canon', 'dadvantaige', 'Un', 'canon', 'peult', 'tirer', 'par']","['4xx', 'ou', 'cent', 'coups', 'Mays', 'il', 'le', 'fault', 'refraischir', 'a']"
tc_p017v_preTEI,de nuict,"['s', 'les', 'logeant', 'par', 'trenchees', 'sur', 'le', 'bort', 'du', 'fosse']",[]
tc_p020v_preTEI,Chasque matin,[],"['prens', 'deulx', 'ou', 'trois', 'oeufs', 'ponds', 'dun', 'ou', 'deulx', 'jours']"
tc_p020v_preTEI,jours,"['matin', 'prens', 'deulx', 'ou', 'trois', 'oeufs', 'ponds', 'dun', 'ou', 'deulx']","['fais', 'les', 'chaufer', 'jusques', '&', 'non', 'cuire', 'prens', 'les', 'moyeulx']"
tc_p024r_preTEI,de trois jours en trois jours,"['dans', 'les', 'quelques', 'grenades', 'pour', 'estre', 'tous', 'jours', 'pourveu', 'Et']","['tu', 'les', 'changeras', 'si', 'tu', 'les', 'cognois', 'trop', 'deseches', 'Pour']"
tc_p024v_preTEI,denuict,"['pres', 'de', 'la', 'place', 'quon', 'veult', 'battre', 'Le', 'canonier', 'va']","['recognoistre', 'le', 'lieu', 'le', 'plus', 'commode', 'pour', 'faire', 'la', 'batterie']"
tc_p024v_preTEI, de nuict,"['estonne', 'les', 'assaillis', 'Aux', 'villes', 'fortes', 'on', 'faict', 'les', 'aproches']","['mays', 'aulx', 'biquoques', 'Les', 'pionniers', 'portent', 'les', 'gabions', 'Et', 'portent']"
tc_p026r_preTEI,jours,"['seule', 'faict', 'plus', 'deffect', 'On', 'tient', 'questant', 'charges', 'de', 'quinze']","['&', 'tenus', 'en', 'lieu', 'sec', 'ilz', 'ont', 'plus', 'de', 'force']"
tc_p029r_preTEI,jour,"['ou', 'festons', 'quil', 'vous', 'plaira', 'qui', 'seront', 'secs', 'dans', 'un']","['Apres', 'vous', 'les', 'apliqueres', 'avecq', 'colle', 'forte', 'ou', 'colle', 'de']"
tc_p029r_preTEI,jour,"['sorte', 'quil', 'soict', 'clair', '&', 'le', 'broye', 'plusieurs', 'fois', 'le']","['lespace', 'de', 'quinze', 'jour', 's', 'Puys', 'verse', 'leau', 'par', 'inclination']"
