folio,text in tag,before,after
tc_p003r_preTEI,eau,"['ne', 'demonstre', 'estre', 'poinct', 'espesse', 'ains', 'claire', '&', 'liquide', 'comme']","['&', 'que', 'facillement', 'elle', 'coule', '&', 'file', 'au', 'bout', 'dun']"
tc_p003r_preTEI,gros caneva,"['broyes', '&', 'en', 'fais', 'lessay', 'Lors', 'coule', 'la', 'par', 'quelque']","['ou', 'estamine', 'bien', 'claire', 'de', 'sorte', 'quen', 'coulant', 'elle', 'tombe']"
tc_p003r_preTEI,estamine bien claire,"['fais', 'lessay', 'Lors', 'coule', 'la', 'par', 'quelque', 'gros', 'caneva', 'ou']","['de', 'sorte', 'quen', 'coulant', 'elle', 'tombe', 'dans', 'du', 'vinaigre', 'le']"
tc_p003r_preTEI,vinaigre,"['bien', 'claire', 'de', 'sorte', 'quen', 'coulant', 'elle', 'tombe', 'dans', 'du']","['le', 'plus', 'fort', 'que', 'tu', 'pourras', 'Car', 'le', 'vinaigre', 'luy']"
tc_p003r_preTEI,vinaigre,"['du', 'vinaigre', 'le', 'plus', 'fort', 'que', 'tu', 'pourras', 'Car', 'le']","['luy', 'donne', 'force', '&', 'lempesche', 'destre', 'si', 'frangible', 'Reitere', 'cela']"
tc_p003r_preTEI,coral,"['&', 'elle', 'sera', 'belle', '&', 'bien', 'purifiee', 'pour', 'contrefaire', 'ton']","['Tu', 'peulx', 'mesler', 'la', 'quarte', 'partie', 'de', 'mastic', 'parmy', 'ta']"
tc_p003r_preTEI,mastic,"['contrefaire', 'ton', 'coral', 'Tu', 'peulx', 'mesler', 'la', 'quarte', 'partie', 'de']","['parmy', 'ta', 'rousine', 'purifiee', 'pour', 'la', 'rendre', 'plus', 'ferme', 'et']"
tc_p003r_preTEI,rousine purifiee,"['Tu', 'peulx', 'mesler', 'la', 'quarte', 'partie', 'de', 'mastic', 'parmy', 'ta']","['pour', 'la', 'rendre', 'plus', 'ferme', 'et', 'plus', 'belle', '&', 'si']"
tc_p003r_preTEI,mastic,"['plus', 'belle', '&', 'si', 'tu', 'prenois', 'la', 'seule', 'larme', 'du']","['tant', 'mieulx', 'seroit', 'mais', 'il', 'seroit', 'trop', 'long']"
tc_p003r_preTEI,soufre,[],"['&', 'vermeillon', 'faict', 'le', 'mesme', 'effect']"
tc_p003r_preTEI,vermeillon,"['soufre', '&']","['faict', 'le', 'mesme', 'effect']"
